ID;Owner;Unit ID;Unit;Peripherals;Reporting Status;Show Until;Billing Group;Last Event Date;Monthly Fee;Bill To;Assigned To;Linked Mode;Paired GPS;Paired Camera;Billable;RMA;Unit Type;IMEI;Serial Number;Phone Number;Carrier;SIM #;VIN;License Plate;Static IP;Event;Last Contact On;Min;Server IP;Server Port;Last Event Address;Modem;Inv #;Status;Last Service Paid Until;Service Paid Until;Assigned to Company;IFTA;History Months;Comments;Warranty Expires;Script;JBOX Profile;Contract Type;Subscription;Firmware
1096020;Renting;0WJH;ZNO008;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;Queclink GV55W;868574041229829;S2-M006820-0WJH;9104045378;Claro CO;57101602312161862;;ZNO008;;Idle - Stop;23/07/2025;0;3.231.161.53;10613;Torres de San Juan, Tocancipá, Cundinamarca, Colombia. 251017;3G;306263;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;5/13/2023 12:08:53 PM;N;3;;3/31/2024 12:00:00 AM;;;;;
1096028;Renting;0WJP;ZNO007;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;Queclink GV55W;868574041310736;S2-M006820-0WJP;9104044118;Claro CO;57101602312161841;;ZNO007;;Idle - Stop;23/07/2025;0;3.231.161.53;10613;Calle 143 # 109C-2 a 109C-100, Bogotá, Cundinamarca, Colombia, .;3G;306263;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;5/13/2023 8:45:13 AM;N;3;;3/31/2024 12:00:00 AM;;;;;
1095876;Renting;0WFH;ZNO006;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;Queclink GV55W;868574041303723;S2-M006820-0WFH;9104045402;Claro CO;57101602312161925;;ZNO006;;Parked;23/07/2025;0;3.231.161.53;10613;Cl173 7a-59, Bogota, Cundinamarca, Colombia, . .;3G;306263;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;4/28/2023 2:01:57 PM;N;3;;3/31/2024 12:00:00 AM;;;;;
1095974;Renting;0WI7;ZNO005;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;Queclink GV55W;868574041322806;S2-M006820-0WI7;9104042854;Claro CO;57101602312158196;;ZNO005;;Parked;23/07/2025;0;3.231.161.53;10613;251017, Tocancipá, Cundinamarca, Colombia. 251017;3G;306263;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;5/13/2023 12:22:22 PM;N;3;;3/31/2024 12:00:00 AM;;;;;
1097607;Renting;0XRK;ZNO004;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;352556102768723;1363188577;9101158416;MOVISTAR CO;8957123112215163815;;ZNO004;;Parked;23/07/2025;0;3.231.161.53;10534;Calle 146f #75a-2 a 75a-36, Bogotá, Bogotá, Colombia, . 111156;3G;--;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;5/19/2023 4:31:19 PM;N;3;;5/15/2024 12:00:00 AM;TSO_LMU26x0_FLS_ES2_BIN_AWS_10700;;;;
1097483;Renting;0XO4;ZNO003;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;Queclink GV55W;868574041287074;S2-M006820-0XO4;9104042881;;57101602312158223;;ZNO003;;Parked;23/07/2025;0;3.231.161.53;10613;Kr30bis 10-81, Yumbo, Valle Cauca, Colombia, . .;3G;307140;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;6/15/2023 3:37:18 PM;N;3;;5/11/2024 12:00:00 AM;;;;;
1099923;Renting;0ZJV;ZNO002;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 2G - LMU0330G-SK07-G1000;868574042731591;S2-M007693-0ZJV;9103417471;Claro CO;57101602502492400;;ZNO002;;Parked;23/07/2025;0;3.231.161.53;10613;Km 17 #7-35 7-55 24267 24277-24247 Bogotá - Tunja Autopista Norte Calle 245 Calle 245 Autopista Nort. 110151;3G;309311;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;12/1/2023 9:05:16 AM;N;3;;9/19/2024 12:00:00 AM;;;;;
1097151;Renting;0XEW;ZNO001;;;;;22/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;Queclink GV55W;868574041310603;S2-M006820-0XEW;9104042847;Claro CO;57101602312158189;;ZNO001;;Parked;22/07/2025;0;3.231.161.53;10613;7739PP28+FW, . .;3G;307140;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;6/15/2023 4:36:04 PM;N;3;;5/11/2024 12:00:00 AM;;;;;
6646;Renting;X081;ZNN979;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;358077091722286;1363114825;9103402448;Claro CO;89571016021090725302;;ZNN979;;Input 1 ON;23/07/2025;0;3.231.161.53;10430;Cl20dd 41f-86, Bello, Antioquia, .;3G;--;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;5/2/2023 12:06:11 PM;N;3;;4/20/2008 12:00:00 AM;;;;;
1095997;Renting;0WIU;ZNN973;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;Queclink GV55W;868574041276432;S2-M006820-0WIU;9104045395;Claro CO;57101602312161906;;ZNN973;;Parked;23/07/2025;0;3.231.161.53;10613;Carrera 56 # 43-1 a 43-99, Copacabana, Antioquia, Colombia, .;3G;306263;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;5/5/2023 5:07:35 PM;N;3;;3/31/2024 12:00:00 AM;;;;;
1093695;Renting;0UQY;ZNN895;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;352556102938102;1363189163;9101126792;MOVISTAR CO;8957123112215348804;LVBV4JBB5PY001092;ZNN895;;Parked;23/07/2025;0;3.231.161.53;10534;Cl11 30-60, Yumbo, Valle Cauca, Colombia, . .;3G;--;Active;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;12/3/2022 4:14:12 PM;N;3;;11/17/2023 12:00:00 AM;TSO_LMU3x0_Basic_BIKE_10S_AWS_10700;;;;
1095240;Renting;0VXU;ZNN894;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;352556102036956;1363186215;9101177257;MOVISTAR CO;8957123112215168400;LVBV3ABBXPE001156;ZNN894;;Drive;23/07/2025;0;3.231.161.53;10534;Via Principal-31, San Juan De Rio Seco, Cundinamarca, .;3G;--;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;3/8/2023 11:00:22 AM;N;3;;2/7/2024 12:00:00 AM;TSO_LMU3x0_Basic_BIKE_10S_AWS_10700;;;;
1093838;Renting;0UUX;ZNN893;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;352556102928137;1363190474;9101126873;MOVISTAR CO;8957123112215348416;LVBV3ABB9PE001147;ZNN893;;Parked;23/07/2025;0;3.231.161.53;10534;Kr31aa 85b-48, Medellin, Antioquia, Colombia, . .;3G;--;Active;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;11/28/2022 9:52:43 AM;N;3;;11/21/2023 12:00:00 AM;TSO_LMU3x0_Basic_BIKE_10S_AWS_10700;;;;
1093807;Renting;0UU2;ZNN885;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;352556102946774;1363190536;9101126882;MOVISTAR CO;8957123112215348291;LVBV3ABB3NE003344;ZNN885;;Travel Stop;23/07/2025;0;3.231.161.53;10530;South America, Funza, Capital District. .;3G;--;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;12/3/2022 7:07:29 PM;N;3;;11/18/2023 12:00:00 AM;TSO_LMU3x0_Basic_BIKE_10S_AWS_10700;;;;
1093922;Renting;0UX9;ZNN884;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;352556102899189;1363189578;9101442015;MOVISTAR CO;8957123112215340975;LVBV3ABB1NE003343;ZNN884;;Drive;23/07/2025;0;3.231.161.53;10530;Av 90-98, Tolu, Sucre, .;3G;--;Active;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;12/3/2022 3:44:04 PM;N;3;;11/23/2023 12:00:00 AM;TSO_LMU3x0_Basic_BIKE_10S_AWS_10700;;;;
1093837;Renting;0UUW;ZNN883;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;352556102921124;1363190450;9101126870;MOVISTAR CO;8957123112215348424;LVBV3ABB9NE003347;ZNN883;;Drive;23/07/2025;0;3.231.161.53;10534;Kr7-23, Bogota, Cundinamarca, Colombia, . .;3G;--;Active;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;12/3/2022 3:41:15 PM;N;3;;11/21/2023 12:00:00 AM;TSO_LMU3x0_Basic_BIKE_10S_AWS_10700;;;;
1093923;Renting;0UXA;ZNN882;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;352556102767634;1363189588;9101444255;MOVISTAR CO;8957123112215340967;LVBV3ABB0NE002409;ZNN882;;Ignition OFF;23/07/2025;0;3.231.161.53;10534;Av 55-43, Gachancipa, Cundinamarca, .;3G;--;Active;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;12/3/2022 4:09:35 PM;N;3;;11/23/2023 12:00:00 AM;TSO_LMU3x0_Basic_BIKE_10S_AWS_10700;;;;
1093343;Renting;0UH6;ZNN881;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 4232 - 3G - LMU4232H-RH00-G1000;357041068259483;4864048329;9103982002;Claro CO;89571016023121578544;LVBDFPEA4PN005003;ZNN881;;Parked;23/07/2025;0;3.231.161.53;10430;Av Bolivariana 42b-81, Medellin, Antioquia, .;3G;--;Active;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;11/17/2022 5:56:06 AM;N;3;;11/3/2023 10:32:09 PM;TSO_LMU26x0_FLS_ES2_BIN_AWS_10700;;;;
1093001;Renting;0U7O;ZNN866;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01;352556102524290;4764414210;9103979486;Claro CO;89571016023121576787;LVBV4JBBXPY001265;ZNN866;;Parked;23/07/2025;0;3.231.161.53;10430;Km 16 Vía Espinal Complejo Agroindustrial Cafetero, Ibagué, Tolima, Colombia. 730005;3G;--;Active;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;10/30/2022 11:32:28 PM;N;3;;10/13/2023 12:00:00 AM;TSO_LMU26x0_FLS_ES2_BIN_AWS_10700;;;;
1095399;Renting;0W28;ZNN865;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;352556102899205;1363189348;9101446928;MOVISTAR CO;89571011015066675603;;ZNN865;;Ignition OFF;23/07/2025;0;3.231.161.53;10430;Cl50 34-69, Copacabana, Antioquia, Colombia, . .;3G;--;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;5/7/2024 9:17:38 AM;N;3;;3/3/2024 12:00:00 AM;;;;;
1095245;Renting;0VXZ;ZNN786;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;354514101458570;1363186212;9101155986;MOVISTAR CO;8957123112215168368;LVBDFPEA9NN005415;ZNN786;;Idle - Stop;23/07/2025;0;3.231.161.53;10534;Cl110 29-56, Medellin, Antioquia, .;3G;--;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;2/25/2023 12:13:59 PM;N;3;;2/8/2024 12:00:00 AM;TSO_LMU3x0_Basic_BIKE_10S_AWS_10700;;;;
1094850;Renting;0VN1;ZNN785;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;354514101455196;1363186257;9104040285;Claro CO;57101602303745213;LVBDFPEA7NN005414;ZNN785;;Parked;23/07/2025;0;3.231.161.53;10534;Kr52 89-27, Medellin, Antioquia, Colombia, . .;;--;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;1/28/2023 9:39:14 AM;N;3;;1/20/2024 12:00:00 AM;TSO_LMU3x0_Basic_BIKE_AWS_10700;;;;
1094699;Renting;0VIU;ZNN784;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;354514101456186;1363186057;3153836929;MOVISTAR CO;8957123112115871574;LVBDFPEA0NN005416;ZNN784;;Parked;23/07/2025;0;3.231.161.53;10530;Cl95 50c-88, Medellin, Antioquia, Colombia, . .;3G;--;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;1/28/2023 9:40:48 AM;N;3;;1/4/2024 12:00:00 AM;TSO_LMU3x0_Basic_BIKE_10S_AWS_10700;;;;
1093389;Renting;0UIG;ZNN756;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01;357041065170774;4764256538;9103983275;Claro CO;89571016023121578791;LVBV3ABB2NE002346;ZNN756;;Parked;23/07/2025;0;3.231.161.53;10530;Av. Carabobo #88-2 a 88-112, Medellín, Medellín, Antioquia, Colombia. 050004;3G;--;Active;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;11/12/2022 11:06:57 AM;N;3;;11/8/2023 12:00:00 AM;TSO_LMU26x0_FLS_ES2_BIN_AWS_10700;;;;
1095166;Renting;0VVS;ZNN755;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;354514101469890;1363185685;9101261548;MOVISTAR CO;8957123112215160837;;ZNN755;;Ignition OFF;23/07/2025;0;3.231.161.53;10430;Av Las Vegas 52s-35, Sabaneta, Antioquia, Colombia, . .;3G;--;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;3/18/2023 9:22:27 AM;N;3;;2/3/2024 12:00:00 AM;TSO_LMU3x0_Basic_BIKE_10S_AWS_10700;;;;
1093378;Renting;0UI5;ZNN754;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 2631 - Gemalto HSPA - LMU2631H-H000-GTC01;357041065237763;4764255374;9103394968;Claro CO;89571016022057264426;LVBV3ABB5NE002339;ZNN754;;Parked;23/07/2025;0;3.231.161.53;10530;Cl84 42-69, Medellin, Antioquia, Colombia, . .;3G;--;Active;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;11/12/2022 11:47:54 AM;N;3;;11/8/2023 12:00:00 AM;TSO_LMU26x0_FLS_ES2_BIN_AWS_10700;;;;
1092759;Renting;0U0Y;ZNN748;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;357041063370566;4863055103;9103981948;Claro CO;57101602312157800;;ZNN748;;Travel Stop;23/07/2025;0;3.231.161.53;10534;Cl20d 41f-90, Bello, Antioquia, .;3G;--;Active;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;11/19/2022 10:25:05 AM;N;3;;10/10/2023 12:00:00 AM;TSO_LMU26x0_FLS_ES2_BIN_AWS_10700;;;;
1097305;Renting;0XJ6;ZNN747;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;Queclink GV55W;868574042392204;S2-M007693-0XJ6;9104052892;Claro CO;57101602312162573;;ZNN747;;Idle - Stop;23/07/2025;0;3.231.161.53;10613;Cra. 44a #74-2 a 74-72, Medellín, Medellín, Antioquia, Colombia. 050011;3G;307140;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;9/20/2023 11:48:51 AM;N;3;;5/11/2024 12:00:00 AM;;;;;
1095257;Renting;0VYB;ZNN746;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;352556102053753;1363186318;9101181109;MOVISTAR CO;8957123112215168236;LVBV3JBB9NY004108;ZNN746;;Parked;23/07/2025;0;3.231.161.53;10530;Cl46 84-86, Copacabana, Antioquia, Colombia, . .;3G;--;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;2/25/2023 2:23:03 PM;N;3;;2/8/2024 12:00:00 AM;TSO_LMU3x0_Basic_BIKE_10S_AWS_10700;;;;
1093004;Renting;0U7R;ZNN708;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01;352556102533580;4764414207;9103979489;Claro CO;89571016023121576811;LJ11PDBD0N1300657;ZNN708;;Parked;23/07/2025;0;3.231.161.53;10530;Km 16 Vía Espinal Complejo Agroindustrial Cafetero, Ibagué, Tolima, Colombia. 730005;3G;--;Active;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;10/30/2022 11:23:23 PM;N;3;;10/13/2023 12:00:00 AM;TSO_LMU26x0_FLS_ES2_BIN_AWS_10700;;;;
1092886;Renting;0U4H;ZNN704;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01;352556102308520;4764413864;9103978242;Claro CO;89571016023121576043;LVBV4JBB4NY003073;ZNN704;;Travel Stop;23/07/2025;0;3.231.161.53;10534;Av 40, Ibague, Tolima, Colombia, . .;3G;--;Active;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;11/20/2022 7:03:53 AM;N;3;;10/12/2023 12:00:00 AM;TSO_LMU26x0_FLS_ES2_BIN_AWS_10700;;;;
1092979;Renting;0U72;ZNN703;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01;352556102533465;4764414685;9103979470;Claro CO;89571016023121576621;LVBV4JBB8NY003075;ZNN703;;Idle Alert;23/07/2025;0;3.231.161.53;10530;Av 19-32, Ibague, Tolima, Colombia, . .;3G;--;Active;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;10/23/2022 10:18:30 AM;N;3;;10/13/2023 12:00:00 AM;TSO_LMU26x0_FLS_ES2_BIN_AWS_10700;;;;
1092998;Renting;0U7L;ZNN702;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01;352556102523573;4764414658;9103978246;Claro CO;89571016023121576084;LVBV4JBB3NY003078;ZNN702;;Idle Alert;23/07/2025;0;3.231.161.53;10430;Cl. 2ª, La Sierra, Lérida, Tolima, Colombia. 731027;3G;--;Active;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;10/21/2022 6:04:26 AM;N;3;;10/13/2023 12:00:00 AM;TSO_LMU26x0_FLS_ES2_BIN_AWS_10700;;;;
1092327;Renting;0TOY;ZNN277;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01;352556102295198;4764417114;9104054164;Claro CO;89571016023075938272;LJ11PCBC3L1300568;ZNN277;;Parked;23/07/2025;0;3.231.161.53;10530;Cl105 48-85, Bogota, Cundinamarca, .;;--;Active;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;9/3/2022 8:00:15 AM;N;3;;9/1/2023 12:00:00 AM;TSO_LMU26x0_FLS_ES2_BIN_AWS_10700;;;;
1092769;Renting;0U18;ZNN276;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01;352556102511479;4764412312;9103976985;Claro CO;89571016023121575177;LJ11PCBC1L1300570;ZNN276;;Parked;23/07/2025;0;3.231.161.53;10430;Calle 102 # 49-2 a 49-100, Medellín, Antioquia, Colombia, .;3G;--;Active;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;10/16/2022 8:39:58 PM;N;3;;10/11/2023 12:00:00 AM;TSO_LMU26x0_FLS_ES2_BIN_AWS_10700;;;;
