,Dealer,Company,VIP,FEIN,Unnamed: 4,DNI,Peripherals,Service,Owner,Unit ID,Unit,Unit Type,Carrier,Unnamed: 13,Monthly Fee,Billing Group,Billing Period,Last Service Paid Until,Service Paid Until,Serial Number,IMEI,Bill To,Status,Event,Assigned To Company On,Last Event Date,Last Contact On,Last Event Address
181,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0AO5,PW0718A,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,1363066416,358077090367646,,Active,Parked,8/28/2023 6:58:34 AM,8/26/2023 2:47:18 PM,8/26/2023 2:47:25 PM,"Juárez 614, El Jaral, 66550 Carmen, N.L., Mexico"
182,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0AOA,24,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,1363065145,357041069731209,,Active,End Speeding,4/5/2024 12:22:27 PM,4/29/2024 5:43:59 PM,4/29/2024 5:44:19 PM,"MEX-85D, Nuevo León"
183,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0AOJ,G120,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,1363066419,357041069779935,,Active,Drive,4/13/2021 4:44:25 AM,2/21/2020 2:33:15 AM,2/21/2020 2:33:34 AM,"I-30, Saltillo, TX 75478"
184,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0AQ7,CADILLAC,CalAmp 3030 - 3G - LMU30H303-G1000,MOVISTAR MX,,"29,99",,Monthly,10/22/2024 12:00:00 AM,11/20/2024 12:00:00 AM,4562249980,359804080774625,,Active,Parked,12/31/2024 8:48:21 AM,11/15/2023 10:33:59 AM,11/15/2023 10:34:21 AM,"Calle Enrique H Herrera, Monterrey, Nuevo León"
185,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0B3N,M-48,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,1363065095,357041069675398,,Active,Speed alert,2/25/2023 2:30:47 PM,7/19/2023 11:48:03 AM,7/19/2023 11:48:32 AM,"NL-100, Nuevo León"
186,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0B3P,1185505,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,10/22/2024 12:00:00 AM,11/20/2024 12:00:00 AM,1363066423,358077090365871,,Active,Parked,1/30/2025 8:48:42 AM,5/7/2019 11:08:37 AM,5/7/2019 11:11:15 AM,"Ramos Arizpe, Ramos Arizpe, Coahuila"
187,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0B3R,TS-0149,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,1363122569,359369091140232,,Active,Parked,11/28/2023 6:02:40 AM,2/20/2024 4:15:09 PM,2/20/2024 4:15:40 PM,"Yonago, Coahuila"
188,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0B3S,IC-01,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,1363106384,359369090533825,,Active,Parked,9/1/2023 1:26:36 PM,5/1/2025 2:16:56 PM,5/1/2025 2:17:27 PM,"Alfonso Martínez Domínguez 509, 65600 Hidalgo, N.L., Mexico"
189,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0B3V,1185494,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,10/22/2024 12:00:00 AM,11/20/2024 12:00:00 AM,1363066424,357041069857467,,Active,Travel Start,1/30/2025 8:53:26 AM,6/13/2019 5:00:33 PM,6/13/2019 5:04:41 PM,"Los Bosques, Ramos Arizpe, Coahuila"
190,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0B3Z,TS-0201,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,1363065308,357041069625005,,Active,Parked,11/28/2023 6:00:44 AM,2/18/2024 2:51:14 PM,2/18/2024 2:51:28 PM,"C. Ignacio la Llave 955, Zona Centro, 25000 Saltillo, Coah., Mexico"
191,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0B43,1186138,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,10/22/2024 12:00:00 AM,11/20/2024 12:00:00 AM,1363065119,357041069677527,,Active,Parked,1/30/2025 8:38:55 AM,9/23/2019 2:02:10 AM,9/23/2019 2:08:17 AM,"MEX-40, Ramos Arizpe, Coahuila"
192,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0B49,1185503,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,10/22/2024 12:00:00 AM,11/20/2024 12:00:00 AM,1363065991,357041069699455,,Active,Ignition OFF,1/30/2025 8:49:34 AM,7/24/2019 8:12:51 PM,7/24/2019 8:17:01 PM,"Ramos Arizpe, Ramos Arizpe, Coahuila"
193,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0B4A,1186135,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,10/22/2024 12:00:00 AM,11/20/2024 12:00:00 AM,1363065164,357041069672569,,Active,Ignition ON,1/30/2025 8:45:01 AM,10/28/2019 7:14:55 PM,10/28/2019 7:21:23 PM,"Carretera a San Juan de la Vaqueria, Saltillo, Coahuila"
194,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0B4F,1186132,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,10/22/2024 12:00:00 AM,11/20/2024 12:00:00 AM,1363060972,357041069088766,,Active,Idle Alert,1/30/2025 8:46:17 AM,2/21/2020 2:25:57 AM,2/21/2020 2:26:04 AM,"Carretera a San Juan de la Vaqueria, Coahuila"
195,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0B4I,1186141,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,10/22/2024 12:00:00 AM,11/20/2024 12:00:00 AM,1363065096,357041069681115,,Active,Parked,1/30/2025 8:37:39 AM,5/13/2019 5:31:08 AM,5/13/2019 5:33:48 AM,"Sin nombre No. 148 -, Zona Industrial, 25901 Ramos Arizpe, Coah., Mexico"
196,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0B4N,1186142,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,10/22/2024 12:00:00 AM,11/20/2024 12:00:00 AM,1363065988,357041069776303,,Active,Ignition ON,1/30/2025 8:37:18 AM,9/4/2021 7:30:04 PM,9/4/2021 7:30:14 PM,"Carretera a San Juan de la Vaqueria, Coahuila"
197,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0B4P,1185506,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,10/22/2024 12:00:00 AM,11/20/2024 12:00:00 AM,1363065098,357041069620782,,Active,Parked,1/30/2025 8:48:20 AM,5/27/2019 11:28:41 AM,5/27/2019 11:32:02 AM,"Ramos Arizpe, Ramos Arizpe, Coahuila"
198,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0B4V,1186127,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,10/22/2024 12:00:00 AM,11/20/2024 12:00:00 AM,1363066064,357041069620568,,Active,Idle Alert,1/30/2025 8:47:54 AM,8/24/2019 5:12:41 PM,8/24/2019 5:17:41 PM,"Carr. Saltillo-Monterrey SN-I, Zona Industrial, 25901 Ramos Arizpe, Coah., Mexico"
199,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0B53,1185497,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,10/22/2024 12:00:00 AM,11/20/2024 12:00:00 AM,1363065094,357041069676396,,Active,Idle Alert,1/30/2025 8:52:06 AM,5/31/2019 6:56:44 AM,5/31/2019 6:59:48 AM,"Carr. Saltillo-Monterrey 111, Zona Industrial, 25900 Ramos Arizpe, Coah., Mexico"
200,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0B5B,TS-0204,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,1363066418,357041069781105,,Active,Parked,11/28/2023 5:59:28 AM,2/20/2024 5:35:36 PM,2/20/2024 5:36:04 PM,"Jesus Treviño, Monterrey, Nuevo León"
201,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0B5M,1185502,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,10/22/2024 12:00:00 AM,11/20/2024 12:00:00 AM,1363066420,358077090365830,,Active,Parked,1/30/2025 8:50:05 AM,8/6/2019 11:02:16 AM,8/6/2019 11:06:51 AM,"Ramos Arizpe, Ramos Arizpe, Coahuila"
202,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0B5O,17,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,1363065153,357041069696782,,Active,Parked,1/17/2022 12:31:04 PM,8/11/2021 11:21:20 AM,8/11/2021 11:21:34 AM,"Av 57-49, Ojo De Agua Matehuala, San Luis Potosi, Mexico"
203,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0B5P,1067-P,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,10/22/2024 12:00:00 AM,11/20/2024 12:00:00 AM,1363146667,358077092426960,,Active,Parked,1/30/2025 8:22:57 AM,3/30/2023 5:01:41 PM,3/30/2023 5:02:07 PM,"Popocatépelt 6, 76820 La Estancia, Qro., Mexico"
204,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0B5S,1186137,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,10/22/2024 12:00:00 AM,11/20/2024 12:00:00 AM,1363066429,357041069771155,,Active,Ignition ON,1/30/2025 8:39:26 AM,12/19/2019 4:04:13 PM,12/19/2019 4:04:36 PM,"Ramos Arizpe, Ramos Arizpe, Coahuila"
205,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0B62,1186133,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,10/22/2024 12:00:00 AM,11/20/2024 12:00:00 AM,1363066002,357041069696303,,Active,Travel Stop,1/30/2025 8:45:53 AM,7/20/2019 1:49:26 PM,7/20/2019 1:53:52 PM,"Carretera a San Juan de la Vaqueria, Saltillo, Coahuila"
245,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0GN6,2225-P(U30),CalAmp 2631 - LTE - Ext Ant,MOVISTAR MX,,"29,99",,Monthly,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4674004222,356961071904208,,Active,Parked,7/24/2023 2:14:02 PM,7/24/2023 11:12:44 PM,7/24/2023 11:13:00 PM,"Poniente 4-61, Matamoros, Tamaulipas, Mexico"
246,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0GQX,0750-P,CalAmp 2631 - LTE - Ext Ant,MOVISTAR MX,,"29,99",,Monthly,10/22/2024 12:00:00 AM,11/20/2024 12:00:00 AM,4674004475,356961071907177,,Active,Parked,1/30/2025 8:23:21 AM,3/18/2021 10:00:39 AM,3/18/2021 10:06:05 AM,"8-47, Reynosa, Tamaulipas, Mexico"
247,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0GQY,M1006,CalAmp 2631 - LTE - Ext Ant,KORE,,"29,99",,Monthly,10/22/2024 12:00:00 AM,11/20/2024 12:00:00 AM,4674004463,356961071928157,,Active,Parked,1/30/2025 8:26:00 AM,1/31/2022 9:40:04 AM,1/31/2022 9:40:21 AM,"MEX-40, Ramos Arizpe, Coahuila"
248,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0GQZ,33,CalAmp 2631 - LTE - Ext Ant,MOVISTAR MX,,"29,99",,Monthly,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4674004435,356961072172912,,Active,Parked,4/25/2024 11:41:41 AM,4/25/2024 8:43:34 PM,4/25/2024 10:34:12 PM,"Av Benito Juarez-47, Carmen, Nuevo Leon, Mexico"
249,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0GR0,56,CalAmp 2631 - LTE - Ext Ant,KORE,,"29,99",,Monthly,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4674004474,356961071924669,,Active,Parked,10/6/2021 1:23:16 PM,8/3/2021 11:14:16 PM,8/3/2021 11:14:23 PM,107 Calle del Molino 
250,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0GR2,RK-01588,CalAmp 2631 - LTE - Ext Ant,MOVISTAR MX,,"29,99",,Monthly,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4674004483,356961071924222,,Active,Parked,8/31/2021 9:04:14 AM,8/31/2021 11:01:33 AM,8/31/2021 11:09:54 AM,"6ta Calle-19, Miguel Aleman San Nicolas De Los Garza, Nuevo Leon, Mexico"
251,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0GR3,PP-9750-A,CalAmp 2631 - LTE - Ext Ant,MOVISTAR MX,,"29,99",,Monthly,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4674004467,356961071907136,,Active,Parked,8/31/2021 7:06:18 AM,8/31/2021 8:37:03 AM,8/31/2021 9:25:50 AM,"6ta Calle-19, Miguel Aleman San Nicolas De Los Garza, Nuevo Leon, Mexico"
252,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0GR7,7080-P,CalAmp 2631 - LTE - Ext Ant,MOVISTAR MX,,"29,99",,Monthly,10/22/2024 12:00:00 AM,11/20/2024 12:00:00 AM,4674004229,356961071924354,,Active,Parked,1/30/2025 8:19:04 AM,8/25/2023 4:38:42 AM,8/25/2023 4:39:09 AM,"7-47, Reynosa, Tamaulipas, Mexico"
253,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0GRB,BT002,CalAmp 2631 - LTE - Ext Ant,MOVISTAR MX,,"29,99",,Monthly,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4674004486,356961071924792,,Active,Travel Start,1/3/2023 1:20:41 PM,12/19/2022 5:15:16 PM,12/19/2022 5:16:28 PM,"Vicente Guerrero, Acuña, Coahuila"
254,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0GRD,ES-JETTA AND,CalAmp 2631 - LTE - Ext Ant,MOVISTAR MX,,"29,99",,Monthly,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4674004221,356961072169470,,Active,Parked,2/18/2022 12:33:55 PM,7/28/2022 7:21:14 AM,7/28/2022 7:21:25 AM,"Francisco Javier Mina 104, Miguel Hidalgo, 66649 Cd Apodaca, N.L., Mexico"
255,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0GRE,CS-27,CalAmp 2631 - LTE - Ext Ant,,,"29,99",,Monthly,11/18/2016 12:00:00 AM,11/18/2016 12:00:00 AM,4674004562,356961071921053,,Active,Idle - Stop,7/14/2023 3:39:54 PM,8/28/2023 2:42:58 PM,8/28/2023 2:43:20 PM,"Israel C Gonzalez, Hermosillo, Sonora"
256,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0GRG,MO605,CalAmp 2631 - LTE - Ext Ant,KORE,,"29,99",,Monthly,10/22/2024 12:00:00 AM,11/20/2024 12:00:00 AM,4674004225,356961072150991,,Active,Parked,1/30/2025 8:25:33 AM,12/15/2020 3:25:58 AM,12/15/2020 3:26:20 AM,Unnamed Road 
257,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0GRH,M0620,CalAmp 2631 - LTE - Ext Ant,KORE,,"29,99",,Monthly,10/22/2024 12:00:00 AM,11/20/2024 12:00:00 AM,4674004523,356961072163184,,Active,Travel Start,1/30/2025 8:30:05 AM,7/23/2021 7:21:11 PM,7/23/2021 7:28:14 PM,"Av Paseo Tolloacan Av, Metepec, Edo Mexico, Mexico"
258,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0GRI,4895-P,CalAmp 2631 - LTE - Ext Ant,MOVISTAR MX,,"29,99",,Monthly,10/22/2024 12:00:00 AM,11/20/2024 12:00:00 AM,4674004561,356961071904448,,Active,Parked,1/30/2025 8:20:33 AM,8/25/2023 6:56:33 AM,8/25/2023 6:57:02 AM,"7-47, Reynosa, Tamaulipas, Mexico"
