Dealer;Company;VIP;FEIN;DNI;Peripherals;Service Name;Owner;Unit ID;Unit;Unit Type;Carrier;Monthly Fee;Billing Group;Billing Period;Last Srv Paid Until;Service Paid Until;Serial #;Phone Number;Sim Number;IMEI;Bill To;Status;Last Event;Assigned To Company;Last Event Date;Last Contact On;Last Event Address
TSO Mobile Peru;3 P.L S.A.;False;20537076969;20537076969;Panic Button,;PLAN ESTANDAR;Client;0G2L;AMN-892;GenX 5P;CLARO-PE;16,8;;Monthly;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;000034424057;983337249;8951101632630671356;358014096251326;;Active;Power OFF;2/12/2022 6:37:51 AM;12/14/2024 3:55:44 PM;12/14/2024 3:56:03 PM;Cordillera Central-69, Chorrillos, Lima, Lima [Province], Perú
TSO Mobile Peru;A & N GROUP MOLINA E.I.R.L.;False;20600041089;20600041089;Panic Button,;PLAN ESTANDAR;Client;11Y7;BXX-919;CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01;CLARO-PE;16,16;;Annually;5/21/2024 12:00:00 AM;5/20/2025 12:00:00 AM;4764400659;963765342;8951101630733494353;354514101202291;;Active;Ignition OFF;5/22/2024 12:19:04 PM;6/12/2025 9:33:47 AM;6/12/2025 9:34:18 AM;Av 27 De Abril-59, Santa Anita, Lima, Lima [Province]
TSO Mobile Peru;A & N GROUP MOLINA E.I.R.L.;False;20600041089;20600041089;Panic Button,;PLAN ESTANDAR;Renting;13S6;BNX-908;CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01;CLARO-PE;16,16;;Annually;5/21/2024 12:00:00 AM;5/20/2025 12:00:00 AM;4764384517;987465470;8951101632863468017;358077093351506;;Active;Drive;5/22/2024 2:43:29 PM;6/12/2025 9:40:18 AM;6/12/2025 9:40:38 AM;Av Javier Prado Este-67, San Borja, Lima, Lima [Province], Perú
TSO Mobile Peru;ABEL LEONARDO SANTA CRUZ PEREYRA;False;40158544;40158544;Panic Button,;PLAN ESTANDAR;Renting;15UJ;BWX-943;Queclink GV55W;CLARO-PE;15,33;INTERNAL U;Annually;10/21/2024 12:00:00 AM;10/20/2025 12:00:00 AM;S2-M007693-15UJ;958209908;8951101630601427287;868574042923552;;Active;Parked;10/21/2024 8:28:58 AM;6/12/2025 9:30:36 AM;6/12/2025 9:30:55 AM;WJJP+RW9, San Vicente de Cañete 15701, Peru
TSO Mobile Peru;ACCIONA3GPERU E.I.R.L.;False;20607742571;20607742571;Panic Button,;PLAN ESTANDAR;Client;11GK;BVU-932;CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01;CLARO-PE;16,17;;Annually;8/5/2024 12:00:00 AM;8/4/2025 12:00:00 AM;4764428752;966762797;895110163087459799;354514102538735;;Active;Parked;8/7/2024 6:17:08 AM;6/12/2025 7:54:54 AM;6/12/2025 7:55:15 AM;Av 1-66, Ate Vitarte, Lima, Lima [Province]
TSO Mobile Peru;ACRY LOVE PERU S.A.C.;False;20608413724;20608413724;Panic Button,;PLAN ESTANDAR;Renting;16E6;CCU-814;Queclink GV55W;CLARO-PE;14;INTERNAL U;Annually;3/4/2025 12:00:00 AM;4/2/2025 12:00:00 AM;S2-M007693-16E6;948393947;895110163091280891;868574042930854;;Active;Parked;3/4/2025 9:13:47 AM;6/12/2025 8:50:04 AM;6/12/2025 8:50:35 AM;Ricardo Herrera-17, Lima (cercado), Lima, Lima [Province], Perú
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0X2O;D7Y-845;Queclink GV55W;CLARO-PE TSO;55;;Monthly;5/29/2023 12:00:00 AM;6/28/2023 12:00:00 AM;868574042461066;984107372;8951101630726669664;868574042461066;;Active;Parked;6/13/2023 8:52:04 PM;6/12/2025 9:01:59 AM;6/12/2025 9:02:14 AM;Orquideas 139, Surquillo 15038, Peru
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0X2V;ALP-807;CalAmp 2630 - 3G - LMU2631H-H000-G1000;CLARO-PE TSO;55;;Monthly;5/29/2023 12:00:00 AM;6/28/2023 12:00:00 AM;4764383406;989028731;8951101630726669532;358077093305015;;Active;Parked;6/17/2023 4:28:44 AM;6/12/2025 9:10:19 AM;6/12/2025 9:10:38 AM;Clb-35, Surquillo, Lima, Lima [Province], Perú
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0X2W;A5V-805;Queclink GV55W;CLARO-PE TSO;55;;Monthly;5/29/2023 12:00:00 AM;6/28/2023 12:00:00 AM;S2-M007693-0YNJ;964122535;8951101630722079454;868574042386016;;Active;Parked;6/13/2023 9:30:27 PM;6/12/2025 9:13:56 AM;6/12/2025 9:14:09 AM;Clb-31, Surquillo, Lima, Lima [Province], Perú
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0X3I;AJO-720;Queclink GV55W;CLARO-PE TSO;55;;Monthly;5/29/2023 12:00:00 AM;6/28/2023 12:00:00 AM;S2-M007693-0YNN;965401084;8951101630722079496;868574042395231;;Active;Power OFF;6/13/2023 9:28:43 PM;5/28/2025 10:29:38 PM;5/28/2025 10:29:44 PM;Via Principal, Puente Piedra, Lima, Lima [Province], Perú
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0X3L;B1C-938;Queclink GV55W;CLARO-PE TSO;55;;Monthly;5/29/2023 12:00:00 AM;6/28/2023 12:00:00 AM;S2-M007693-0YNH;965398398;8951101630722079439;868574042416722;;Active;Idle - Stop;6/13/2023 8:54:45 PM;9/8/2024 6:09:38 AM;9/8/2024 6:09:48 AM;Gerard Blanchere 151, Surquillo 15038, Peru
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0X3Q;ALP-934;CalAmp 2630 - HSPA -LMU26H3001-G1000;CLARO-PE TSO;55;;Monthly;5/29/2023 12:00:00 AM;6/28/2023 12:00:00 AM;4764384509;989165993;8951101630726670423;358077093307995;;Active;Parked;6/13/2023 8:57:15 PM;6/12/2025 9:28:04 AM;6/12/2025 9:28:28 AM;Orquideas-29, Surquillo, Lima, Lima [Province], Perú
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0XNZ;DOP-704;CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01;CLARO-PE TSO;55;;Monthly;5/29/2023 12:00:00 AM;6/28/2023 12:00:00 AM;4764384538;984106312;8951101630726669698;358077093346571;;Active;Parked;7/28/2023 11:23:57 AM;6/12/2025 8:47:06 AM;6/12/2025 8:47:33 AM;Clb-30, Surquillo, Lima, Lima [Province], Perú
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0Y9U;BMV-785;Queclink GV55W;CLARO-PE TSO;55;;Monthly;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;S2-M007693-0YLL;970203088;8951101630722078951;868574042456488;;Active;Parked;6/10/2023 8:04:50 PM;6/12/2025 9:21:18 AM;6/12/2025 9:22:03 AM;Clb-35, Surquillo, Lima, Lima [Province], Perú
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YAJ;AJX-938;Queclink GV55W;CLARO-PE TSO;55;;Monthly;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;868574042442868;984108643;8951101630726669805;868574042442868;;Active;Parked;6/10/2023 8:09:10 PM;6/12/2025 9:24:56 AM;6/12/2025 9:25:17 AM;Av Tomas Marsano-67, Surquillo, Lima, Lima [Province], Perú
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YAT;ADT-859;CalAmp 2630 - 3G - LMU2631H-H000-G1000;CLARO-PE TSO;55;;Monthly;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;4764384750;984107459;8951101630726669847;358077093358865;;Active;Idle Alert;6/10/2023 5:43:17 AM;6/12/2025 8:55:45 AM;6/12/2025 8:56:30 AM;Moser 501, Distrito de Lima 15038, Peru
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YB0;C3L-733;Queclink GV55W;CLARO-PE TSO;55;;Monthly;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;868574042462817;953192503;8951101630722078746;868574042462817;;Active;Idle - Stop;6/10/2023 12:20:17 PM;6/12/2025 9:39:23 AM;6/12/2025 9:39:51 AM;Moser 501, Distrito de Lima 15038, Peru
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YB7;ADR-945;Queclink GV55W;CLARO-PE TSO;55;;Monthly;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;S2-M007693-0YLT;973645602;8951101630722079116;868574042458203;;Active;Parked;6/9/2023 2:29:17 PM;6/12/2025 9:02:40 AM;6/12/2025 9:03:29 AM;Clb-31, Surquillo, Lima, Lima [Province], Perú
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YBP;C3L-783;Queclink GV55W;CLARO-PE TSO;55;;Monthly;5/29/2023 12:00:00 AM;6/28/2023 12:00:00 AM;S2-M007693-0YLZ;973023399;8951101630722079173;868574042432323;;Active;Parked;6/10/2023 8:14:21 PM;6/12/2025 8:43:31 AM;6/12/2025 8:44:01 AM;Clb-35, Surquillo, Lima, Lima [Province], Perú
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YBQ;AJX-918;Queclink GV55W;CLARO-PE TSO;55;;Monthly;5/29/2023 12:00:00 AM;6/28/2023 12:00:00 AM;S2-M007693-0YNI;965111856;8951101630722079447;868574042414370;;Active;Parked;6/13/2023 9:26:28 PM;5/29/2025 1:55:49 PM;5/29/2025 1:56:05 PM;Via Principal, Puente Piedra, Lima, Lima [Province], Perú
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YBR;A5W-947;CalAmp 2630 - 3G - LMU2631H-H000-G1000;CLARO-PE TSO;55;;Monthly;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;4764401320;997522723;8951101630726670100;354514101087940;;Active;Parked;6/9/2023 10:58:45 AM;6/12/2025 9:39:22 AM;6/12/2025 9:40:09 AM;Clb-35, Surquillo, Lima, Lima [Province], Perú
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YBU;D7L-726;CalAmp 2630 - 3G - LMU2631H-H000-G1000;CLARO-PE TSO;55;;Monthly;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;4764347231;989054692;8951101630726671116;358077092212055;;Active;Drive;6/10/2023 6:18:40 AM;6/12/2025 9:40:07 AM;6/12/2025 9:40:27 AM;Av Caminos Del Inca-8, Surco, Lima, Lima [Province]
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YBW;AJY-779;CalAmp 2630 - 3G - LMU2631H-H000-G1000;CLARO-PE TSO;55;;Monthly;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;4764384554;989593226;8951101630726669524;358077093349823;;Active;Parked;6/10/2023 5:48:23 AM;4/9/2025 7:01:47 AM;4/9/2025 7:02:00 AM;Clb-35, Surquillo, Lima, Lima [Province], Perú
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YBX;BKP-824;Queclink GV55W;CLARO-PE TSO;55;;Monthly;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;S2-M007693-0YNL;965400844;8951101630722079470;868574042420500;;Active;Parked;6/9/2023 8:58:56 AM;6/12/2025 9:00:00 AM;6/12/2025 9:00:10 AM;Orquideas 139, Surquillo 15038, Peru
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YBY;ALP-849;Queclink GV55;CLARO-PE TSO;55;;Monthly;5/29/2023 12:00:00 AM;6/28/2023 12:00:00 AM;S2-M007693-0YX2;989185300;895110163234540759;868574042455886;;Active;Parked;11/4/2023 11:50:08 AM;6/12/2025 9:36:41 AM;6/12/2025 9:37:57 AM;Clb-35, Surquillo, Lima, Lima [Province], Perú
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YCI;AJX-863;CalAmp 2630 - 3G - LMU2631H-H000-G1000;CLARO-PE TSO;55;;Monthly;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;4764385263;986605760;8951101630726669730;358077093314967;;Active;Parked;6/10/2023 5:46:26 AM;2/4/2025 7:09:02 PM;2/4/2025 7:09:29 PM;Clb-28, Surquillo, Lima, Lima [Province], Perú
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YCJ;AJY-773;Queclink GV55W;CLARO-PE TSO;55;;Monthly;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;868574042445275;993589068;8951101630726669391;868574042445275;;Active;Parked;6/10/2023 5:55:31 AM;6/12/2025 9:01:52 AM;6/12/2025 9:02:12 AM;Moser 501, Distrito de Lima 15038, Peru
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YCM;AJY-748;Queclink GV55W;CLARO-PE TSO;55;;Monthly;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;S2-M007693-0YLM;969771828;8951101630722078969;868574042431424;;Active;Parked;6/9/2023 3:02:29 PM;6/12/2025 8:40:59 AM;6/12/2025 8:41:27 AM;Juan Torres Higueras 122, Surquillo 15038, Peru
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YCQ;C6R-897;Queclink GV55W;CLARO-PE TSO;55;;Monthly;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;S2-M007693-0YNC;991409183;8951101630722079579;868574042405360;;Active;Power Cut;6/9/2023 10:47:27 AM;5/22/2025 6:40:32 PM;5/22/2025 6:41:02 PM;Clb-35, Surquillo, Lima, Lima [Province], Perú
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YCR;D7Y-803;Queclink GV55;CLARO-PE TSO;55;;Monthly;5/29/2023 12:00:00 AM;6/28/2023 12:00:00 AM;868574042457346;997377834;8951101630726669656;868574042457346;;Active;Drive;6/13/2023 8:50:43 PM;6/12/2025 9:40:12 AM;6/12/2025 9:40:33 AM;Domingo Martinez Lujan-18, Surquillo, Lima, Lima [Province]
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YCS;D0N-893;Queclink GV55W;CLARO-PE TSO;55;;Monthly;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;S2-M007693-0YNB;963481202;8951101630722079561;868574042416482;;Active;Power OFF;6/10/2023 5:40:39 AM;5/16/2025 8:14:57 PM;5/16/2025 8:15:26 PM;C. Valdemar Moser 562, Lima 15038, Peru
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YCT;BMU-824;Queclink GV55W;CLARO-PE TSO;55;;Monthly;6/11/2023 12:00:00 AM;7/10/2023 12:00:00 AM;S2-M007693-0YWQ;958719497;895110163060142627;868574042452297;;Active;Idle - Stop;6/10/2023 8:04:04 PM;6/12/2025 9:40:36 AM;6/12/2025 9:40:52 AM;Clb-35, Surquillo, Lima, Lima [Province], Perú
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YDA;C3M-729;Queclink GV55W;CLARO-PE TSO;55;;Monthly;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;868574042443569;989593384;8951101630726669789;868574042443569;;Active;Power OFF;6/10/2023 5:44:42 AM;7/20/2024 1:40:28 PM;7/20/2024 1:52:55 PM;Clb-30, Surquillo, Lima, Lima [Province], Perú
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YDB;BKQ-853;Queclink GV55W;CLARO-PE TSO;55;;Monthly;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;S2-M007693-0YLQ;966787527;8951101630722079082;868574042455662;;Active;Parked;6/9/2023 6:55:20 AM;6/12/2025 9:15:18 AM;6/12/2025 9:15:43 AM;Clb-34, Surquillo, Lima, Lima [Province], Perú
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YDC;D0P-811;CalAmp 0330H - 2G - LMU0330G-SK07-G1000;CLARO-PE TSO;55;;Monthly;5/29/2023 12:00:00 AM;6/28/2023 12:00:00 AM;868574042452909;984108655;8951101630726666964;868574042452909;;Active;Power OFF;11/15/2023 1:55:24 PM;6/11/2025 1:11:11 PM;6/11/2025 1:11:33 PM;Juan Torres Higueras 148, Lima 15038, Peru
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YDD;ADS-936;Queclink GV55W;CLARO-PE TSO;55;;Monthly;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;S2-M007693-0YLN;972318618;868574042453550;868574042453550;;Active;Parked;6/10/2023 5:45:30 AM;6/12/2025 9:08:40 AM;6/12/2025 9:09:17 AM;Valdemar Moser-74, Surquillo, Lima, Lima [Province], Perú
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YFP;D7L-789;Queclink GV55W;CLARO-PE TSO;55;;Monthly;5/29/2023 12:00:00 AM;6/28/2023 12:00:00 AM;S2-M007693-0WBH;989593263;8951101630726671090;868574042043641;;Active;Parked;7/22/2023 6:01:29 AM;6/12/2025 8:59:10 AM;6/12/2025 8:59:45 AM;Clb-35, Surquillo, Lima, Lima [Province], Perú
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YFR;C3I-795;Queclink GV55W;CLARO-PE TSO;55;;Monthly;5/29/2023 12:00:00 AM;6/28/2023 12:00:00 AM;868574042466305;989028665;8951101630726669359;868574042466305;;Active;Idle - Stop;6/17/2023 5:23:39 AM;6/12/2025 9:40:39 AM;6/12/2025 9:40:55 AM;Moser 501, Lima 15038, Peru
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YFT;C3N-746;Queclink GV55W;CLARO-PE TSO;55;;Monthly;5/29/2023 12:00:00 AM;6/28/2023 12:00:00 AM;S2-M007693-0YNF;991762681;8951101630722079603;868574042388434;;Active;Power OFF;6/17/2023 7:57:37 AM;3/12/2025 10:35:23 AM;3/12/2025 10:36:02 AM;Clb-31, Surquillo, Lima, Lima [Province], Perú
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YFU;D1T-904;Queclink GV55W;CLARO-PE TSO;55;;Monthly;5/29/2023 12:00:00 AM;6/28/2023 12:00:00 AM;S2-M007693-0YLO;972308758;8951101630722078985;868574042450754;;Active;Parked;6/17/2023 5:48:02 AM;6/12/2025 9:01:59 AM;6/12/2025 9:02:19 AM;Clb-30, Surquillo, Lima, Lima [Province], Perú
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YKK;D8A-860;Queclink GV55W;CLARO-PE TSO;55;;Monthly;5/29/2023 12:00:00 AM;6/28/2023 12:00:00 AM;868574042445598;989593292;8951101630726669797;868574042445598;;Active;Parked;7/28/2023 10:01:55 AM;6/6/2025 10:37:13 AM;6/6/2025 10:37:37 AM;Valdemar Moser-52, Surquillo, Lima, Lima [Province], Perú
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YKM;AJX-937;Queclink GV55W;CLARO-PE TSO;55;;Monthly;5/29/2023 12:00:00 AM;6/28/2023 12:00:00 AM;868574042440227;982239286;8951101630726669383;868574042440227;;Active;Parked;7/28/2023 9:33:29 AM;6/12/2025 9:29:22 AM;6/12/2025 9:29:52 AM;Gerard Blanchere 151, Surquillo 15038, Peru
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;0YNM;A1E-979;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;CLARO-PE TSO;55;;Monthly;5/29/2023 12:00:00 AM;6/28/2023 12:00:00 AM;S2-M007693-0YNM;965401196;8951101630722079488;868574042391289;;Active;Power OFF;11/15/2023 4:33:43 AM;5/16/2025 4:38:39 AM;5/16/2025 4:39:05 AM;South America, Lima
TSO Mobile Peru;AFE SERVICE S.A.C;True;20508571152;20508571152;Panic Button,;PLAN PROFESIONAL;Renting;3349;C5L-884;CalAmp 2630 - 3G - LMU2631H-H000-G1000;CLARO-PE TSO;55;;Monthly;5/29/2023 12:00:00 AM;6/28/2023 12:00:00 AM;4764384045;994702656;8951101630726669243;358077093130009;;Active;Parked;6/25/2023 8:01:24 AM;6/12/2025 8:55:05 AM;6/12/2025 8:55:35 AM;Pastaza-94, Breña, Lima, Lima [Province], Perú
