,Message
54,"+RESP:GTSTT,500700,868574042946678,,22,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DD,06,220100,4,20250701191552,354F$"
55,"+RESP:GTSTT,500700,868574042946678,,21,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DD,06,210100,4,20250701191629,3550$"
57,"+RESP:GTSTT,500700,868574042946678,,11,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DD,06,110000,4,20250701192010,3552$"
61,"+RESP:GTSTT,500700,868574042946678,,21,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DD,06,210100,4,20250702002816,3556$"
63,"+RESP:GTSTT,500700,868574042946678,,11,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DD,06,110000,4,20250702002822,3558$"
67,"+RESP:GTSTT,500700,868574042946678,,21,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DD,06,210100,4,20250702110157,355C$"
68,"+RESP:GTSTT,500700,868574042946678,,22,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DD,06,220000,4,20250702110206,355D$"
72,"+RESP:GTSTT,500700,868574042946678,,12,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DD,06,120000,4,20250702110732,3561$"
74,"+RESP:GTSTT,500700,868574042946678,,11,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DD,06,110000,4,20250702110756,3563$"
77,"+RESP:GTSTT,500700,868574042946678,,21,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DD,06,210100,4,20250702111006,3566$"
78,"+RESP:GTSTT,500700,868574042946678,,22,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DD,06,220000,4,20250702111007,3567$"
82,"+RESP:GTSTT,500700,868574042946678,,12,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DD,06,120000,4,20250702111552,356B$"
84,"+RESP:GTSTT,500700,868574042946678,,11,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DD,06,110000,4,20250702111617,356D$"
87,"+RESP:GTSTT,500700,868574042946678,,22,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DD,06,220100,4,20250702111910,3570$"
89,"+RESP:GTSTT,500700,868574042946678,,12,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DD,06,120000,4,20250702112059,3572$"
90,"+RESP:GTSTT,500700,868574042946678,,11,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DD,06,110000,4,20250702112123,3573$"
94,"+RESP:GTSTT,500700,868574042946678,,22,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DD,06,220100,4,20250702115138,3577$"
98,"+RESP:GTSTT,500700,868574042946678,,12,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DE,06,120000,4,20250702120140,357B$"
100,"+RESP:GTSTT,500700,868574042946678,,11,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DE,06,110000,4,20250702120204,357D$"
103,"+RESP:GTSTT,500700,868574042946678,,22,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DE,06,220100,4,20250702120540,3580$"
107,"+RESP:GTSTT,500700,868574042946678,,12,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,120000,4,20250702121126,3584$"
109,"+RESP:GTSTT,500700,868574042946678,,11,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,110000,4,20250702121151,3586$"
112,"+RESP:GTSTT,500700,868574042946678,,21,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,210100,4,20250702122443,3589$"
114,"+RESP:GTSTT,500700,868574042946678,,11,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,110000,4,20250702122457,358B$"
118,"+RESP:GTSTT,500700,868574042946678,,21,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,210100,4,20250702123211,358F$"
120,"+RESP:GTSTT,500700,868574042946678,,11,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,110000,4,20250702123239,3591$"
122,"+RESP:GTSTT,500700,868574042946678,,21,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,210100,4,20250702123307,3593$"
128,"+RESP:GTSTT,500700,868574042946678,,11,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,110000,4,20250702123721,3599$"
132,"+RESP:GTSTT,500700,868574042946678,,21,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,210100,4,20250702124851,359D$"
134,"+RESP:GTSTT,500700,868574042946678,,11,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,110000,4,20250702124853,359F$"
136,"+RESP:GTSTT,500700,868574042946678,,21,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,210100,4,20250702124855,35A1$"
137,"+RESP:GTSTT,500700,868574042946678,,22,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,220000,4,20250702124857,35A2$"
139,"+RESP:GTSTT,500700,868574042946678,,12,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,120000,4,20250702124857,35A4$"
141,"+RESP:GTSTT,500700,868574042946678,,22,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,220100,4,20250702124859,35A6$"
149,"+RESP:GTSTT,500700,868574042946678,,12,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,120000,4,20250702125304,35AE$"
151,"+RESP:GTSTT,500700,868574042946678,,11,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,110000,4,20250702125329,35B0$"
154,"+RESP:GTSTT,500700,868574042946678,,22,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,220100,4,20250702131916,35B3$"
156,"+RESP:GTSTT,500700,868574042946678,,12,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,120000,4,20250702132054,35B5$"
157,"+RESP:GTSTT,500700,868574042946678,,11,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DE,06,110000,4,20250702132119,35B6$"
161,"+RESP:GTSTT,500700,868574042946678,,21,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,210100,4,20250702150601,35BA$"
162,"+RESP:GTSTT,500700,868574042946678,,22,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,220000,4,20250702150602,35BB$"
166,"+RESP:GTSTT,500700,868574042946678,,12,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,120000,4,20250702151935,35BF$"
168,"+RESP:GTSTT,500700,868574042946678,,11,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,110000,4,20250702151959,35C1$"
171,"+RESP:GTSTT,500700,868574042946678,,22,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,220100,4,20250702152649,35C4$"
173,"+RESP:GTSTT,500700,868574042946678,,12,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,120000,4,20250702152807,35C6$"
174,"+RESP:GTSTT,500700,868574042946678,,11,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,110000,4,20250702152831,35C7$"
178,"+RESP:GTSTT,500700,868574042946678,,21,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,210100,4,20250702161029,35CB$"
179,"+RESP:GTSTT,500700,868574042946678,,22,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,220000,4,20250702161201,35CC$"
183,"+RESP:GTSTT,500700,868574042946678,,12,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,120000,4,20250702161659,35D0$"
185,"+RESP:GTSTT,500700,868574042946678,,11,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DE,06,110000,4,20250702161723,35D2$"
188,"+RESP:GTSTT,500700,868574042946678,,21,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DE,06,210100,4,20250702174050,35D5$"
190,"+RESP:GTSTT,500700,868574042946678,,11,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,110000,4,20250702174109,35D7$"
194,"+RESP:GTSTT,500700,868574042946678,,21,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,210100,4,20250702181734,35DB$"
195,"+RESP:GTSTT,500700,868574042946678,,22,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DE,06,220100,4,20250702181800,35DC$"
196,"+RESP:GTSTT,500700,868574042946678,,21,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,210100,4,20250702181830,35DD$"
199,"+RESP:GTSTT,500700,868574042946678,,22,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AEE9E,06,220100,4,20250702183015,35E0$"
201,"+RESP:GTSTT,500700,868574042946678,,12,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DE,06,120000,4,20250702183019,35E2$"
204,"+RESP:GTSTT,500700,868574042946678,,22,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40AC7DE,06,220100,4,20250702183023,35E5$"
209,"+RESP:GTSTT,500700,868574042946678,,12,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40ACC71,06,120000,4,20250702183612,35EA$"
211,"+RESP:GTSTT,500700,868574042946678,,11,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,1018,40ACC71,06,110000,4,20250702183646,35EC$"
214,"+RESP:GTSTT,500700,868574042946678,,22,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,0FA9,40ACC71,06,220100,4,20250702190839,35EF$"
218,"+RESP:GTSTT,500700,868574042946678,,12,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,0FA9,40AD26E,06,120000,4,20250702201634,35F3$"
220,"+RESP:GTSTT,500700,868574042946678,,11,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,0FA9,40AC423,06,110000,4,20250702201658,35F5$"
223,"+RESP:GTSTT,500700,868574042946678,,21,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,0FA9,40A5673,06,210100,4,20250702203649,35F8$"
224,"+RESP:GTSTT,500700,868574042946678,,22,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,0FA9,40A5673,06,220000,4,20250702203822,35F9$"
226,"+RESP:GTSTT,500700,868574042946678,,12,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,0FA9,40A5673,06,120000,4,20250702203823,35FB$"
228,"+RESP:GTSTT,500700,868574042946678,,22,0,0.0,288,5.7,-79.012262,-8.133187,20250701183332,0716,0010,0FA9,40A5673,06,220100,4,20250702203825,35FD$"
