Unit,Engine Hours,Tags,Driver,Address,Date / Time,Event,Speed,Posted Speed,VIN,Year,Make,Model,Odometer,ESN,IMEI,Linked Device
B7X-937,4338.76 H,"FLOTA PESADA,PUNTO DE CARGA,PUNTO DE DESCARGA,PERNOCTE,GRIFOS,PARADA NO AUTORIZADA",,"2379+V8H, Lurigancho-Chosica 15461, Peru","Oct 31, 2025 (39 minutes ago), COT",Ignition Off,0 KPH,,,,,,"68,846 km",868574042959580,868574042959580, - 
B7R-452,2305.30 H,OTRAS UT,,"P45X+725, Lurin 15823, Peru","Oct 31, 2025 (a minute ago), COT",Ignition On,0 KPH,,,,,,"27,417 km",868574042917562,868574042917562, - 
B6Y-738,487.66 H,"FLOTA PESADA,PUNTO DE CARGA,PUNTO DE DESCARGA,PERNOCTE,GRIFOS,PARADA NO AUTORIZADA",,"Vía Sin Nombre, 13710, Peru","Oct 30, 2025 (12 hours ago), COT",Ignition Off,0 KPH,,,,,,"28,143 km",869487061723812,869487061723812, - 
B6W-754,7422.26 H,"FLOTA PESADA,PUNTO DE CARGA,PUNTO DE DESCARGA,PERNOCTE,GRIFOS,PARADA NO AUTORIZADA",,"Av. Huachipa 202, Lima 15457, Peru","Oct 31, 2025 (34 minutes ago), COT",Ignition Off,0 KPH,,,,,,"73,837 km",868574042943931,868574042943931, - 
B5F-836,1699.90 H,"FAPE - T1,PUNTO DE CARGA,PUNTO DE DESCARGA,PERNOCTE,GRIFOS,PARADA NO AUTORIZADA",,"Panamericana Sur km 29 interior i19, Lurín 15823, Peru","Oct 31, 2025 (2 hours ago), COT",Ignition Off,0 KPH,,,,,,"41,883 km",868574042846621,868574042846621, - 
AYY-748,814.11 H,"FLOTA PESADA,PUNTO DE CARGA,PUNTO DE DESCARGA,PERNOCTE,GRIFOS,PARADA NO AUTORIZADA",,"Via de Evitamiento, Arequipa 04014, Peru","Oct 31, 2025 (a minute ago), COT",Drive,23 KPH,51 KPH,,,,,"71,209 km",868574042943279,868574042943279, - 
ASW-895,170.09 H,"FAPE - CHINCHA,GRIFOS,PARADA NO AUTORIZADA",,"Jirón Italia 115, 11701, Peru","Oct 31, 2025 (10 minutes ago), COT",Ignition Off,0 KPH,,,,,,"20,616 km",1363184605,354514101459628, - 
ACX-717,2035.73 H,"FAPE - NORTE CHICO Y HUARAZ,PUNTO DE DESCARGA,GRIFOS",,"Av. San Martin 1333, Huacho 15136, Peru","Oct 31, 2025 (an hour ago), COT",Ignition Off,0 KPH,,,,,,"354,189 km",000003953236,359394056247517, - 
ACW-719,116.30 H,OTRAS UT,,"LM-119, Ate 15023, Peru","Oct 31, 2025 (2 minutes ago), COT",Drive,15 KPH,40 KPH,,,,,"50,381 km",868574042451455,868574042451455, - 
A4B-861,1847.58 H,OTRAS UT,,"C. Morelli 150, Lima 15036, Peru","Oct 31, 2025 (an hour ago), COT",Ignition Off,0 KPH,,,,,,"8,974 km",868574042908439,868574042908439, - 
A2Q-929,3.28 H,GRIFOS,,"2379+V8H, Lurigancho-Chosica 15461, Peru","Oct 31, 2025 (4 minutes ago), COT",Ignition Off,0 KPH,,,,,,6 km,4764385965,358077093191704, - 
7390-YC,609.34 H,FAPE - NORTE CHICO Y HUARAZ,,"14, Huaraz 02002, Peru","Oct 30, 2025 (13 hours ago), COT",Ignition Off,0 KPH,,,,,,"2,725 km",868574042956586,868574042956586, - 
1AZ4,224.21 H,OTRAS UT,,"Ctra. Panamericana Sur 291, 11501, Peru","Oct 31, 2025 (34 minutes ago), COT",Ignition Off,0 KPH,,,,,,"42,728 km",868574042860754,868574042860754, - 
