Vehicle,StartDateTime,StartTime,EndTime,DurationSecs,MaxSpeed,StartOdometer,EndOdometer,StartLat,StartLon,StartAddress
ESP837/ ,2025-07-28,14:44:48,14:46:40,0:01:52,77,147702,147704,"3,51574","-76,37630","Av 25, Palmira, Valle Cauca, Colombia"
ESP837/ ,2025-07-28,14:47:43,14:47:58,0:00:15,74,147706,147706,"3,52281","-76,34540","Av 25, Palmira, Valle Cauca"
ESP837/ ,2025-07-28,14:49:14,14:49:38,0:00:24,75,147707,147708,"3,52608","-76,33024","Av 25-42, Palmira, Valle Cauca"
ESP837/ ,2025-07-28,16:13:18,16:17:08,0:03:50,75,147722,147727,"3,54872","-76,33832","Km 17 de la vía Cerrito - Puerto Tejada, , Valle del Cauca"
ESP837/ ,2025-07-28,16:17:47,16:20:02,0:02:15,75,147728,147730,"3,59353","-76,31702","Km 11 de la vía Cerrito - Puerto Tejada, , Valle del Cauca"
ESP837/ ,2025-07-28,16:20:58,16:24:00,0:03:02,78,147732,147735,"3,62334","-76,29937","Km 7 de la vía Cerrito - Puerto Tejada, , Valle del Cauca"
ESP837/ ,2025-07-28,16:24:24,16:25:14,0:00:50,75,147736,147737,"3,65970","-76,29297","Km 3 de la vía Cerrito - Puerto Tejada, , Valle del Cauca"
ESP837/ ,2025-07-28,16:25:32,16:25:43,0:00:11,72,147737,147738,"3,67075","-76,29526","Km 2 de la vía Cerrito - Puerto Tejada, , Valle del Cauca"
ESP837/ ,2025-07-28,16:26:41,16:27:11,0:00:30,72,147739,147739,"3,67888","-76,30315","Km 0 de la vía Cerrito - Puerto Tejada, , Valle del Cauca"
ESP837/ ,2025-07-28,16:27:21,16:27:34,0:00:13,74,147739,147740,"3,68563","-76,30544","Km 10 de la vía Guacarí - Cerrito, , Valle del Cauca"
ESP837/ ,2025-07-28,16:28:06,16:30:01,0:01:55,75,147740,147743,"3,69009","-76,31186","Retorno A Rozo / Buga-49, Palmira, Valle Cauca"
ESP837/ ,2025-07-28,16:32:56,16:33:24,0:00:28,72,147744,147744,"3,72090","-76,32012","Av 25n, Palmira, Valle Cauca"
ESP837/ ,2025-07-28,16:34:52,16:35:43,0:00:51,74,147746,147747,"3,74119","-76,32413","Av 25n, Guacari, Valle Cauca"
ESP837/ ,2025-07-28,16:39:36,16:43:55,0:04:19,78,147752,147757,"3,78761","-76,31871","Av 25n, Guacari, Valle Cauca"
ESP837/ ,2025-07-28,16:44:15,16:45:00,0:00:45,75,147757,147758,"3,83569","-76,30064","Av 25n-56, Guacari, Valle Cauca, Colombia"
ESP837/ ,2025-07-28,16:45:21,16:45:55,0:00:34,78,147759,147760,"3,84734","-76,29831","Av 25n-77, Guacari, Valle Cauca"
ESP837/ ,2025-07-28,16:46:06,16:46:26,0:00:20,77,147760,147760,"3,85582","-76,29706","Km 5 de la vía Buga - Guacarí, , Valle del Cauca"
ESP840/ ,2025-07-28,16:08:14,16:08:26,0:00:12,72,111845,111845,"6,17730","-75,59376","Av Autosur 67a, Itagui, Antioquia, Colombia"
ESR750/ ,2025-07-28,09:12:23,09:13:35,0:01:12,75,179736,179738,"10,94283","-74,84188","Km 1 de la vía Troncal del Caribe  - Baranoa - Barranquilla, , Atlántico"
ESR754/Juan Carlos Beltran Rodriguez,2025-07-28,08:08:50,08:09:03,0:00:13,70,187453,187453,"4,74368","-74,28356","Av 50, Madrid, Cundinamarca"
ESR754/Juan Carlos Beltran Rodriguez,2025-07-28,08:12:13,08:12:44,0:00:31,72,187457,187457,"4,76366","-74,31051","Av 50, Facatativa, Cundinamarca"
ESR754/Juan Carlos Beltran Rodriguez,2025-07-28,08:13:04,08:13:35,0:00:31,75,187458,187458,"4,77085","-74,31651","Av 50, Facatativa, Cundinamarca, Colombia"
ESR754/Juan Carlos Beltran Rodriguez,2025-07-28,09:11:37,09:13:06,0:01:29,74,187478,187480,"4,84620","-74,26738","Av 50-91, El Rosal, Cundinamarca"
ESR754/Juan Carlos Beltran Rodriguez,2025-07-28,09:13:45,09:15:59,0:02:14,77,187481,187484,"4,83259","-74,24795","Av 50-27, El Rosal, Cundinamarca"
ESR754/Juan Carlos Beltran Rodriguez,2025-07-28,09:17:32,09:18:11,0:00:39,75,187485,187486,"4,81069","-74,21684","Av 50-62, Bogota, Cundinamarca"
ESR754/Juan Carlos Beltran Rodriguez,2025-07-28,09:20:01,09:20:50,0:00:49,72,187488,187489,"4,79345","-74,20243","Av 50-46, Bogota, Cundinamarca"
ESR755/ ,2025-07-28,08:53:04,08:53:17,0:00:13,74,78942,78942,"5,02149","-73,81078","Briceño - Tunja - Sogamoso, Sesquilé, Cundinamarca, Colombia"
ESR755/ ,2025-07-28,09:04:24,09:05:28,0:01:04,74,78950,78951,"5,04688","-73,82030","Av 55-13, Sesquile, Cundinamarca, Colombia"
ESR755/ ,2025-07-28,09:18:21,09:18:41,0:00:20,75,78961,78962,"4,97308","-73,89472","Av 55-21, Gachancipa, Cundinamarca, Colombia"
ESR780/Cesar Augusto Parra Larrahondo,2025-07-28,14:46:13,14:46:40,0:00:27,72,178338,178339,"3,41556","-76,45733","Km 5 de la vía Cali - Florida, , Valle del Cauca"
ESR780/Cesar Augusto Parra Larrahondo,2025-07-28,14:46:56,14:47:23,0:00:27,77,178339,178340,"3,41169","-76,45069","Km 6 de la vía Cali - Florida, , Valle del Cauca"
ESR780/Cesar Augusto Parra Larrahondo,2025-07-28,14:47:57,14:48:08,0:00:11,72,178340,178340,"3,41179","-76,44022","Km 7 de la vía Cali - Florida, , Valle del Cauca"
ESR780/Cesar Augusto Parra Larrahondo,2025-07-28,14:48:24,14:48:36,0:00:12,72,178341,178341,"3,41234","-76,43543","Km 8 de la vía Cali - Florida, , Valle del Cauca"
ESR780/Cesar Augusto Parra Larrahondo,2025-07-28,14:51:31,14:52:01,0:00:30,75,178344,178345,"3,40732","-76,40684","Via Principal-76, Cali, Valle Cauca"
GDX530/ ,2025-07-28,13:47:03,13:47:31,0:00:28,75,59494,59494,"3,42309","-76,45866","Km 4 de la vía Cali - Florida, , Valle del Cauca"
GDX530/ ,2025-07-28,14:50:28,14:50:58,0:00:30,74,59523,59524,"3,45248","-76,33880","Av 25a-48, Palmira, Valle Cauca, Colombia"
GDX530/ ,2025-07-28,16:54:13,16:55:13,0:01:00,75,59545,59546,"3,52621","-76,33053","Av 25, Palmira, Valle Cauca"
GDX530/ ,2025-07-28,16:57:10,16:57:22,0:00:12,70,59547,59547,"3,52202","-76,34995","Av 25, Palmira, Valle Cauca"
GDX530/ ,2025-07-28,16:57:43,16:59:37,0:01:54,75,59547,59550,"3,52092","-76,35579","Av 25, Palmira, Valle Cauca"
GDX530/ ,2025-07-28,16:59:48,17:07:14,0:07:26,85,59550,59560,"3,51546","-76,37877","Av 25, Palmira, Valle Cauca"
GDX558/ ,2025-07-28,07:05:21,07:05:34,0:00:13,74,121237,121237,"4,77665","-74,17998","Av 50-25, Bogota, Cundinamarca"
GDX558/ ,2025-07-28,12:29:17,12:29:35,0:00:18,72,121262,121262,"4,70464","-74,23643","Av 50-25, Funza, Cundinamarca"
GDX558/ ,2025-07-28,12:29:54,12:30:04,0:00:10,70,121263,121263,"4,70170","-74,23095","Av 50-47, Funza, Cundinamarca"
GTX257/Yurbi Roberto Rodríguez posada,2025-07-28,15:02:07,15:02:17,0:00:10,77,137425,137425,"4,70684","-75,60655","Av 29s, Pereira, Risaralda"
GTX257/Yurbi Roberto Rodríguez posada,2025-07-28,15:04:41,15:04:54,0:00:13,72,137427,137428,"4,71619","-75,61810","Km 46 de la vía Pereira - Armenia, , Risaralda"
GTX257/Yurbi Roberto Rodríguez posada,2025-07-28,15:05:37,15:07:55,0:02:18,88,137428,137431,"4,72090","-75,62399","Av 29n, Pereira, Risaralda"
GTX257/Yurbi Roberto Rodríguez posada,2025-07-28,15:08:56,15:10:07,0:01:11,88,137432,137434,"4,73749","-75,65226","Km 9 de la vía Pereira - Armenia, , Risaralda"
GTX260/ ,2025-07-28,11:30:47,11:32:06,0:01:19,74,111553,111554,"3,79746","-76,77405","Km 69 de la vía Cali - Buenaventura, , Valle del Cauca"
GTX260/ ,2025-07-28,11:31:56,11:32:06,0:00:10,72,111554,111554,"3,80723","-76,77744","Km 71 de la vía Cali - Buenaventura, , Valle del Cauca"
GTX260/ ,2025-07-28,11:34:35,11:34:47,0:00:12,74,111557,111557,"3,83125","-76,78859","Km 74 de la vía Cali - Buenaventura, , Valle del Cauca"
GTX260/ ,2025-07-28,11:38:31,11:38:41,0:00:10,70,111561,111561,"3,86117","-76,80597","Km 78 de la vía Cali - Buenaventura, , Valle del Cauca"
GTX260/ ,2025-07-28,11:46:45,11:46:57,0:00:12,74,111567,111567,"3,85784","-76,85129","Av 40, Buenaventura, Valle Cauca"
GTX260/ ,2025-07-28,11:52:37,11:52:54,0:00:17,72,111573,111574,"3,87261","-76,87892"," Km 91 de la vía Cali - Buenaventura, , Valle del Cauca, Colombia"
GTX260/ ,2025-07-28,11:54:22,11:54:32,0:00:10,72,111575,111575,"3,87794","-76,89044","Km 93 de la vía Cali - Buenaventura, , Valle del Cauca"
GTX260/ ,2025-07-28,16:16:15,16:16:29,0:00:14,72,111635,111635,"3,86608","-76,82105","Km 80 de la vía Cali - Buenaventura, , Valle del Cauca"
GTX260/ ,2025-07-28,16:26:24,16:26:39,0:00:15,72,111646,111646,"3,79537","-76,77386","Km 69 de la vía Cali - Buenaventura, , Valle del Cauca"
GTX651/John fredy Riaño Guerrero,2025-07-28,09:24:12,09:24:23,0:00:11,72,1740,1740,"4,84335","-74,03098","Av 55, Bogota, Cundinamarca"
GTX651/John fredy Riaño Guerrero,2025-07-28,09:24:41,09:25:00,0:00:19,85,1740,1741,"4,84855","-74,03016","Av 55, Bogota, Cundinamarca"
GTX651/John fredy Riaño Guerrero,2025-07-28,09:33:17,09:33:28,0:00:11,72,1746,1746,"4,89192","-74,00985","Av 55, Cajica, Cundinamarca"
GTX652/ ,2025-07-28,16:15:56,16:16:21,0:00:25,91,30902,30903,"10,94086","-74,84647","Av La Cordialidad, Sabanalarga-44, Barranquilla, Atlantico"
GTX654/ ,2025-07-28,13:06:17,13:06:28,0:00:11,72,159464,159465,"11,03567","-74,83324","Av Circunvalar, Barranquilla, Atlantico"
GTX654/ ,2025-07-28,13:07:11,13:07:59,0:00:48,77,159465,159466,"11,03207","-74,84184","Kr10-49, Puerto Colombia, Atlantico"
GTX654/ ,2025-07-28,14:03:11,14:03:22,0:00:11,78,159471,159472,"11,03033","-74,85506","Kr10-30, Puerto Colombia, Atlantico"
GTX654/ ,2025-07-28,14:03:45,14:05:35,0:01:50,86,159472,159475,"11,03004","-74,84932","Kr10-24, Puerto Colombia, Atlantico"
GTX654/ ,2025-07-28,14:08:57,14:09:31,0:00:34,80,159478,159479,"11,01391","-74,83949","Av Circunvalar, Barranquilla, Atlantico, Colombia"
GTX654/ ,2025-07-28,16:51:36,16:51:55,0:00:19,74,159505,159505,"10,92399","-74,86851","Av 90-19, Galapa, Atlantico, Colombia"
GTX654/ ,2025-07-28,16:52:07,16:52:20,0:00:13,74,159506,159506,"10,92077","-74,87321","Km 5 de la vía Troncal del Caribe  - Baranoa - Barranquilla, , Atlántico"
SNZ414/ ,2025-07-28,07:10:12,07:10:26,0:00:14,74,199547,199548,"4,91480","-73,99988","Av 55, Cajica, Cundinamarca"
SNZ414/ ,2025-07-28,07:10:51,07:11:19,0:00:28,72,199548,199549,"4,90812","-74,00215","Av 55, Cajica, Cundinamarca"
SNZ415/ ,2025-07-28,12:36:04,12:37:14,0:01:10,85,111504,111505,"6,19444","-75,58150","Av Regional, Medellin, Antioquia, Colombia"
SNZ415/ ,2025-07-28,12:39:06,12:39:19,0:00:13,72,111507,111508,"6,22599","-75,57588","Av Regional-35, Medellin, Antioquia"
SNZ415/ ,2025-07-28,15:07:44,15:07:56,0:00:12,74,111532,111532,"6,27516","-75,59998","Cl61e 88b-39, Medellin, Antioquia, Colombia"
SNZ416/ ,2025-07-28,09:12:48,09:13:12,0:00:24,70,118634,118634,"6,17324","-75,59823","Av 25, Itagui, Antioquia"
WLW746/ ,2025-07-28,13:36:45,13:37:03,0:00:18,72,86091,86092,"4,85243","-74,02956","Av 55-33, Bogota, Cundinamarca"
WLW746/ ,2025-07-28,13:53:59,13:54:26,0:00:27,74,86099,86100,"4,90748","-74,02180","Via Principal-81, Cajica, Cundinamarca"
WLW746/ ,2025-07-28,13:56:17,13:56:53,0:00:36,77,86101,86102,"4,92588","-74,01271","Via Principal, Cajica, Cundinamarca"
WLW746/ ,2025-07-28,13:57:14,13:57:39,0:00:25,72,86103,86103,"4,93474","-74,01068","Via Principal-50, Cajica, Cundinamarca"
WLW746/ ,2025-07-28,14:04:21,14:04:34,0:00:13,74,86109,86109,"4,98659","-74,00365","Av Cajica Zipaquira-20, Zipaquira, Cundinamarca"
WLW746/ ,2025-07-28,14:05:07,14:05:42,0:00:35,72,86110,86111,"4,99481","-74,00347","Av Zipaquira -Cajica-92, Zipaquira, Cundinamarca, Colombia"
WLW746/ ,2025-07-28,14:06:10,14:06:22,0:00:12,77,86111,86112,"5,00615","-74,00494","Cl. 3 #1-2, Zipaquirá, Zipaquirá, Cundinamarca, Colombia"
WLW746/ ,2025-07-28,14:31:15,14:32:13,0:00:58,78,86113,86115,"4,99656","-74,00384","45A, Zipaquirá, Cundinamarca, Colombia"
WLW746/ ,2025-07-28,14:35:26,14:35:49,0:00:23,74,86118,86119,"4,95668","-74,01119","Km 2 de la vía Cajicá - Zipaquirá, , Cundinamarca"
WLW746/ ,2025-07-28,14:36:51,14:37:09,0:00:18,72,86119,86120,"4,94632","-74,01533","Av Zipaquira Cajica-37, Cajica, Cundinamarca"
WLW746/ ,2025-07-28,14:39:26,14:40:02,0:00:36,75,86122,86123,"4,92805","-74,01092","Via Principal-96, Cajica, Cundinamarca"
WLW746/ ,2025-07-28,14:54:38,14:54:48,0:00:10,72,86134,86134,"4,83436","-74,03307","Av Autonorte-88, Bogota, Cundinamarca"
WLW746/ ,2025-07-28,14:55:23,14:55:38,0:00:15,75,86135,86135,"4,82655","-74,03458","Av Autonorte 246, Bogota, Cundinamarca"
WLZ189/ ,2025-07-28,09:05:24,09:05:40,0:00:16,72,143936,143937,"4,73926","-75,65720","Av 29s-4, Pereira, Risaralda"
WLZ189/ ,2025-07-28,09:09:02,09:09:13,0:00:11,75,143941,143941,"4,72376","-75,62691","Av 29n, Pereira, Risaralda"
WLZ189/ ,2025-07-28,09:19:22,09:19:36,0:00:14,82,143950,143950,"4,66936","-75,59606","Km 38 de la vía Pereira - Armenia, , Quindio"
WLZ189/ ,2025-07-28,09:21:32,09:21:45,0:00:13,72,143952,143953,"4,65174","-75,60270","Km 25 de la vía Pereira - Armenia, , Quindio"
WLZ189/ ,2025-07-28,09:22:06,09:22:31,0:00:25,82,143953,143954,"4,64653","-75,60534","Av 29n-51, Circasia, Quindio"
WLZ189/ ,2025-07-28,09:22:51,09:23:05,0:00:14,78,143954,143954,"4,64041","-75,61036","Av 29s, Circasia, Quindio"
WLZ189/ ,2025-07-28,09:23:27,09:24:43,0:01:16,83,143955,143956,"4,63525","-75,61391","Av 29s-8, Circasia, Quindio"
WLZ189/ ,2025-07-28,12:47:22,12:47:37,0:00:15,75,143977,143977,"4,66958","-75,59614","Av 29n, Circasia, Quindio"
WLZ189/ ,2025-07-28,12:52:43,12:53:00,0:00:17,77,143982,143983,"4,62876","-75,61731","Av 29n, Circasia, Quindio"
WLZ189/ ,2025-07-28,12:53:13,12:55:21,0:02:08,78,143983,143986,"4,62473","-75,62108","Km 32 de la vía Pereira - Armenia, , Quindio"
WLZ189/ ,2025-07-28,12:55:58,12:56:18,0:00:20,72,143987,143987,"4,60023","-75,63728","Av 29n, Circasia, Quindio"
WLZ189/ ,2025-07-28,14:49:14,14:49:27,0:00:13,74,144012,144012,"4,50110","-75,66732","Av 40-60, Armenia, Quindio"
WLZ189/ ,2025-07-28,14:51:01,14:51:26,0:00:25,78,144013,144014,"4,49749","-75,67953","Av 40-40, Armenia, Quindio"
WLZ189/ ,2025-07-28,14:59:24,15:00:03,0:00:39,72,144019,144020,"4,47995","-75,70677","Km 14 de la vía Tebaida - Armenia, , Quindio"
WLZ189/ ,2025-07-28,15:00:17,15:00:47,0:00:30,75,144020,144021,"4,47317","-75,71303","Km 13 de la vía Tebaida - Armenia, , Quindio"
WLZ189/ ,2025-07-28,15:02:26,15:02:38,0:00:12,75,144023,144023,"4,46507","-75,73031","Km 11 de la vía Tebaida - Armenia, , Quindio"
WLZ189/ ,2025-07-28,15:53:36,15:55:07,0:01:31,80,144037,144039,"4,47339","-75,76080","La Tebaida-Armenia, Armenia, Quindío, Colombia"
WLZ189/ ,2025-07-28,15:55:35,15:56:05,0:00:30,75,144039,144040,"4,48778","-75,74436","Km 3 de la vía Armenia - Tebaida, , Quindio"
WLZ189/ ,2025-07-28,15:58:44,15:59:08,0:00:24,75,144041,144042,"4,49635","-75,73138","Av Armenia - La Tebaida-61, Armenia, Quindio, Colombia"
WLZ189/ ,2025-07-28,15:59:57,16:00:32,0:00:35,78,144043,144043,"4,50064","-75,71949","Km 6 de la vía Armenia - Tebaida, , Quindio"
WLZ189/ ,2025-07-28,16:01:00,16:01:21,0:00:21,77,144044,144044,"4,50648","-75,71090","Km 7 de la vía Armenia - Tebaida, , Quindio"
WLZ189/ ,2025-07-28,16:01:31,16:01:41,0:00:10,70,144044,144045,"4,50955","-75,70609","Via Principal-68, Armenia, Quindio"
WLZ189/ ,2025-07-28,16:34:51,16:36:54,0:02:03,83,144061,144064,"4,61848","-75,62739","Km 31 de la vía Pereira - Armenia, , Quindio"
WLZ189/ ,2025-07-28,16:37:15,16:39:07,0:01:52,80,144064,144066,"4,64075","-75,61022","Av 29s, Circasia, Quindio"
WLZ189/ ,2025-07-28,16:39:37,16:40:48,0:01:11,80,144067,144069,"4,66071","-75,59582","Km 37 de la vía Pereira - Armenia, , Quindio"
WLZ189/ ,2025-07-28,16:41:20,16:42:08,0:00:48,78,144069,144070,"4,67736","-75,60251","Av 29n, Circasia, Quindio"
WLZ189/ ,2025-07-28,16:42:36,16:42:50,0:00:14,75,144071,144071,"4,69049","-75,60674","Av 29n, Pereira, Risaralda"
WLZ189/ ,2025-07-28,16:47:30,16:47:41,0:00:11,75,144075,144075,"4,71074","-75,61373","Av 29n, Pereira, Risaralda"
WLZ189/ ,2025-07-28,16:47:53,16:48:53,0:01:00,75,144076,144077,"4,71456","-75,61475","Km 15 de la vía Pereira - Armenia, , Risaralda"
WLZ189/ ,2025-07-28,16:49:35,16:50:28,0:00:53,74,144078,144079,"4,72411","-75,62777","Km 48 de la vía Pereira - Armenia, , Risaralda"
WLZ189/ ,2025-07-28,16:52:34,16:53:01,0:00:27,78,144081,144082,"4,73749","-75,65097","Km 51 de la vía Pereira - Armenia, , Risaralda"
WLZ189/ ,2025-07-28,16:53:16,16:54:04,0:00:48,72,144082,144083,"4,73990","-75,65828","Av 29s-16, Pereira, Risaralda"
WLZ190/ ,2025-07-28,12:25:40,12:26:15,0:00:35,96,28123,28124,"4,76213","-74,30931","Av 50, Facatativa, Cundinamarca"
WLZ294/DAIRO SUAREZ,2025-07-28,06:20:20,06:20:37,0:00:17,75,129913,129914,"5,61270","-73,32380","Km 26 de la vía Tierra Negra - El Barne, , Boyacá"
WLZ294/DAIRO SUAREZ,2025-07-28,06:22:00,06:25:24,0:03:24,80,129915,129919,"5,62200","-73,31013","Av 55, Tunja, Boyaca"
WLZ294/DAIRO SUAREZ,2025-07-28,06:28:38,06:29:17,0:00:39,75,129921,129922,"5,66236","-73,27310","Km 34 de la vía Tierra Negra - El Barne, , Boyacá"
WLZ294/DAIRO SUAREZ,2025-07-28,06:30:05,06:31:17,0:01:12,77,129923,129925,"5,67697","-73,26945","Km 0 de la vía El Barne, , Boyacá"
WLZ294/DAIRO SUAREZ,2025-07-28,06:32:39,06:33:19,0:00:40,72,129926,129927,"5,69334","-73,25034","Av 55, Tunja, Boyaca, Colombia"
WLZ294/DAIRO SUAREZ,2025-07-28,06:33:34,06:33:46,0:00:12,72,129927,129928,"5,70232","-73,24588","Av 55, Tunja, Boyaca, Colombia"
WLZ294/DAIRO SUAREZ,2025-07-28,06:34:31,06:35:27,0:00:56,72,129928,129930,"5,71035","-73,24171","Av 55, Tunja, Boyaca"
WLZ294/DAIRO SUAREZ,2025-07-28,06:40:15,06:40:26,0:00:11,72,129935,129935,"5,74241","-73,19788","Av 55, Tunja, Boyaca"
WLZ294/DAIRO SUAREZ,2025-07-28,06:41:00,06:41:15,0:00:15,72,129935,129936,"5,74773","-73,19229","Av 55, Tunja, Boyaca"
WLZ294/DAIRO SUAREZ,2025-07-28,06:41:27,06:41:52,0:00:25,74,129936,129937,"5,75067","-73,18832","Av 55, Tunja, Boyaca"
WLZ294/DAIRO SUAREZ,2025-07-28,06:43:01,06:44:00,0:00:59,77,129938,129939,"5,75291","-73,17189","Av 55, Tunja, Boyaca"
WLZ294/DAIRO SUAREZ,2025-07-28,06:44:37,06:46:20,0:01:43,72,129940,129942,"5,76357","-73,15773","Av 55, Tunja, Boyaca"
WLZ294/DAIRO SUAREZ,2025-07-28,06:54:03,06:54:26,0:00:23,74,129948,129948,"5,78217","-73,09541","Av 55, Duitama, Boyaca"
WLZ294/DAIRO SUAREZ,2025-07-28,06:54:47,06:55:12,0:00:25,72,129949,129949,"5,78550","-73,08856","Av 55, Duitama, Boyaca, Colombia"
WLZ294/DAIRO SUAREZ,2025-07-28,06:55:30,06:58:05,0:02:35,80,129949,129953,"5,78746","-73,08109","Av 55, Duitama, Boyaca"
WLZ294/DAIRO SUAREZ,2025-07-28,06:58:18,06:59:04,0:00:46,75,129953,129954,"5,79126","-73,04960","Av 55, Duitama, Boyaca"
WLZ294/DAIRO SUAREZ,2025-07-28,11:21:00,11:21:17,0:00:17,72,130016,130016,"5,79440","-73,04415","I-55, Duitama, Boyacá, Colombia"
WLZ294/DAIRO SUAREZ,2025-07-28,11:21:52,11:22:30,0:00:38,72,130017,130018,"5,79042","-73,05242","I-55, Duitama, Boyacá, Colombia"
WLZ294/DAIRO SUAREZ,2025-07-28,11:23:27,11:25:52,0:02:25,78,130019,130022,"5,78901","-73,06891","Km 5 de la vía Paipa - Duitama, , Boyacá"
WLZ294/DAIRO SUAREZ,2025-07-28,11:32:42,11:33:08,0:00:26,72,130026,130027,"5,77792","-73,13070","Tunja-Paipa, Paipa, Boyacá, Colombia"
WLZ294/DAIRO SUAREZ,2025-07-28,11:33:43,11:34:07,0:00:24,75,130027,130028,"5,77335","-73,14067","Av 55, Tunja, Boyaca, Colombia"
WLZ294/DAIRO SUAREZ,2025-07-28,11:34:24,11:39:10,0:04:46,80,130028,130034,"5,76989","-73,14730","Av 55, Tunja, Boyaca"
WLZ294/DAIRO SUAREZ,2025-07-28,11:39:27,11:40:29,0:01:02,78,130035,130036,"5,74324","-73,19711","Tunja-Paipa, Sotaquirá, Boyacá, Colombia"
WLZ294/DAIRO SUAREZ,2025-07-28,11:41:55,11:42:18,0:00:23,72,130038,130038,"5,72962","-73,21938"," Km 14 de la vía El Barne - Paipa, , Boyacá, Colombia"
WLZ294/DAIRO SUAREZ,2025-07-28,11:44:33,11:44:59,0:00:26,75,130040,130040,"5,71395","-73,23246","Km 12 de la vía El Barne - Paipa, , Boyacá"
