,Eventos,Fecha,Velocidad
782,Ignición Apagada,Nov 25 2025 04:44 PM,0
783,Ignición Encendida,Nov 25 2025 04:44 PM,0
784,Ignición Apagada,Nov 25 2025 04:44 PM,0
798,Ignición Encendida,Nov 25 2025 04:32 PM,0
799,Ignición Apagada,Nov 25 2025 04:08 PM,0
825,Ignición Encendida,Nov 25 2025 03:45 PM,0
827,Ignición Apagada,Nov 25 2025 02:07 PM,0
833,Ignición Encendida,Nov 25 2025 02:02 PM,0
836,Ignición Apagada,Nov 25 2025 01:25 PM,0
855,Ignición Encendida,Nov 25 2025 01:09 PM,0
859,Ignición Apagada,Nov 25 2025 12:02 PM,0
908,Ignición Encendida,Nov 25 2025 11:23 AM,0
909,Ignición Encendida,Nov 25 2025 11:23 AM,0
912,Ignición Apagada,Nov 25 2025 08:59 AM,0
949,Ignición Encendida,Nov 25 2025 08:22 AM,0
950,Ignición Apagada,Nov 25 2025 08:14 AM,0
972,Ignición Encendida,Nov 25 2025 07:54 AM,0
977,Ignición Apagada,Nov 24 2025 06:33 PM,0
1015,Ignición Encendida,Nov 24 2025 06:08 PM,0
1016,Ignición Apagada,Nov 24 2025 05:22 PM,0
1017,Ignición Encendida,Nov 24 2025 05:21 PM,0
1018,Ignición Apagada,Nov 24 2025 04:49 PM,0
1023,Ignición Encendida,Nov 24 2025 04:46 PM,0
1024,Ignición Apagada,Nov 24 2025 04:27 PM,0
1094,Ignición Encendida,Nov 24 2025 03:47 PM,0
1095,Ignición Apagada,Nov 24 2025 03:21 PM,0
1145,Ignición Encendida,Nov 24 2025 02:54 PM,0
1146,Ignición Apagada,Nov 24 2025 02:45 PM,0
1185,Ignición Encendida,Nov 24 2025 02:18 PM,0
1186,Ignición Apagada,Nov 24 2025 02:08 PM,0
1187,Ignición Encendida,Nov 24 2025 02:07 PM,0
1188,Ignición Apagada,Nov 24 2025 02:06 PM,0
1189,Ignición Encendida,Nov 24 2025 02:06 PM,0
1190,Ignición Apagada,Nov 24 2025 01:27 PM,0
1200,Ignición Encendida,Nov 24 2025 01:17 PM,0
1207,Ignición Apagada,Nov 23 2025 12:16 PM,0
1284,Ignición Encendida,Nov 23 2025 11:11 AM,0
1287,Ignición Apagada,Nov 23 2025 08:40 AM,0
1299,Ignición Encendida,Nov 23 2025 08:28 AM,0
1306,Ignición Apagada,Nov 22 2025 02:26 PM,0
1351,Ignición Encendida,Nov 22 2025 01:45 PM,0
1371,Ignición Apagada,Nov 21 2025 06:21 PM,0
1393,Ignición Encendida,Nov 21 2025 06:00 PM,0
1394,Ignición Apagada,Nov 21 2025 05:57 PM,0
1400,Ignición Encendida,Nov 21 2025 05:51 PM,0
1403,Ignición Apagada,Nov 21 2025 03:42 PM,0
1406,Ignición Encendida,Nov 21 2025 03:40 PM,0
1407,Ignición Apagada,Nov 21 2025 03:38 PM,0
1408,Ignición Encendida,Nov 21 2025 03:36 PM,0
1409,Ignición Apagada,Nov 21 2025 03:36 PM,0
1470,Ignición Encendida,Nov 21 2025 02:36 PM,0
1472,Ignición Apagada,Nov 21 2025 02:32 PM,0
1473,Ignición Encendida,Nov 21 2025 02:31 PM,0
1474,Ignición Apagada,Nov 21 2025 01:48 PM,0
1492,Ignición Encendida,Nov 21 2025 01:32 PM,0
1495,Ignición Apagada,Nov 21 2025 11:14 AM,0
1521,Ignición Encendida,Nov 21 2025 10:49 AM,0
1525,Ignición Apagada,Nov 21 2025 07:48 AM,0
1531,Ignición Encendida,Nov 21 2025 07:43 AM,0
1532,Ignición Apagada,Nov 21 2025 07:32 AM,0
1533,Ignición Encendida,Nov 21 2025 07:31 AM,0
1534,Ignición Apagada,Nov 21 2025 07:31 AM,0
1552,Ignición Encendida,Nov 21 2025 07:13 AM,0
1565,Ignición Apagada,Nov 20 2025 06:19 PM,0
1609,Ignición Encendida,Nov 20 2025 05:37 PM,0
1611,Ignición Apagada,Nov 20 2025 04:29 PM,0
1651,Ignición Encendida,Nov 20 2025 03:58 PM,0
1654,Ignición Apagada,Nov 20 2025 01:47 PM,0
1660,Ignición Encendida,Nov 20 2025 01:43 PM,0
1662,Ignición Apagada,Nov 20 2025 12:06 PM,0
1689,Ignición Encendida,Nov 20 2025 11:41 AM,0
1690,Ignición Apagada,Nov 20 2025 11:01 AM,0
1695,Ignición Encendida,Nov 20 2025 10:58 AM,0
1696,Ignición Apagada,Nov 20 2025 10:36 AM,0
1725,Ignición Encendida,Nov 20 2025 10:07 AM,0
1732,Ignición Apagada,Nov 19 2025 05:58 PM,0
1766,Ignición Encendida,Nov 19 2025 05:35 PM,0
1767,Ignición Apagada,Nov 19 2025 04:55 PM,0
1785,Ignición Encendida,Nov 19 2025 04:39 PM,0
1786,Ignición Apagada,Nov 19 2025 04:03 PM,0
1813,Ignición Encendida,Nov 19 2025 03:38 PM,0
1814,Ignición Apagada,Nov 19 2025 03:31 PM,0
1902,Ignición Encendida,Nov 19 2025 02:08 PM,0
1903,Ignición Apagada,Nov 19 2025 02:08 PM,0
1904,Ignición Encendida,Nov 19 2025 02:08 PM,0
1906,Ignición Apagada,Nov 19 2025 12:36 PM,0
1907,Ignición Encendida,Nov 19 2025 12:36 PM,0
1908,Ignición Apagada,Nov 19 2025 12:05 PM,0
1939,Ignición Encendida,Nov 19 2025 11:34 AM,0
1940,Ignición Apagada,Nov 19 2025 10:42 AM,0
1941,Ignición Encendida,Nov 19 2025 10:42 AM,0
1942,Ignición Apagada,Nov 19 2025 10:11 AM,0
1956,Ignición Encendida,Nov 19 2025 09:57 AM,0
1957,Ignición Apagada,Nov 19 2025 09:57 AM,0
1961,Ignición Encendida,Nov 19 2025 09:55 AM,0
1964,Ignición Apagada,Nov 19 2025 08:21 AM,0
1968,Ignición Encendida,Nov 19 2025 08:16 AM,0
1975,Ignición Apagada,Nov 18 2025 05:20 PM,0
1988,Ignición Encendida,Nov 18 2025 05:07 PM,0
1989,Ignición Apagada,Nov 18 2025 04:24 PM,0
2023,Ignición Encendida,Nov 18 2025 03:50 PM,0
2028,Ignición Apagada,Nov 18 2025 11:16 AM,0
2029,Ignición Encendida,Nov 18 2025 11:15 AM,0
2031,Ignición Apagada,Nov 18 2025 09:52 AM,0
2032,Ignición Encendida,Nov 18 2025 09:51 AM,0
2033,Ignición Apagada,Nov 18 2025 09:42 AM,0
2050,Ignición Encendida,Nov 18 2025 09:24 AM,0
2055,Ignición Apagada,Nov 13 2025 06:02 PM,0
2072,Ignición Encendida,Nov 13 2025 05:48 PM,0
2073,Ignición Apagada,Nov 13 2025 05:32 PM,0
2074,Ignición Encendida,Nov 13 2025 05:31 PM,0
2075,Ignición Apagada,Nov 13 2025 05:25 PM,0
2076,Ignición Encendida,Nov 13 2025 05:25 PM,0
2077,Ignición Apagada,Nov 13 2025 05:24 PM,0
2085,Ignición Encendida,Nov 13 2025 05:17 PM,0
2086,Ignición Apagada,Nov 13 2025 04:54 PM,0
2090,Ignición Encendida,Nov 13 2025 04:50 PM,0
2091,Ignición Apagada,Nov 13 2025 04:08 PM,0
2092,Ignición Encendida,Nov 13 2025 04:08 PM,0
2093,Ignición Apagada,Nov 13 2025 04:07 PM,0
2094,Ignición Encendida,Nov 13 2025 04:07 PM,0
2095,Ignición Apagada,Nov 13 2025 03:59 PM,0
2099,Ignición Encendida,Nov 13 2025 03:56 PM,0
2100,Ignición Apagada,Nov 13 2025 03:46 PM,0
2107,Ignición Encendida,Nov 13 2025 03:38 PM,0
2108,Ignición Apagada,Nov 13 2025 03:37 PM,0
2137,Ignición Encendida,Nov 13 2025 03:09 PM,0
2138,Ignición Apagada,Nov 13 2025 03:07 PM,0
2143,Ignición Apagada,Nov 02 2025 09:31 AM,0
2144,Ignición Encendida,Nov 02 2025 09:31 AM,0
2145,Ignición Apagada,Nov 02 2025 09:30 AM,0
2146,Ignición Encendida,Nov 02 2025 09:30 AM,0
2147,Ignición Apagada,Nov 02 2025 09:27 AM,0
2149,Ignición Encendida,Nov 02 2025 09:26 AM,0
2150,Ignición Apagada,Nov 02 2025 09:26 AM,0
2151,Ignición Encendida,Nov 02 2025 09:26 AM,0
2152,Ignición Apagada,Nov 02 2025 09:25 AM,0
2153,Ignición Encendida,Nov 02 2025 09:24 AM,0
2154,Ignición Apagada,Nov 02 2025 09:24 AM,0
2155,Ignición Encendida,Nov 02 2025 09:24 AM,0
2156,Ignición Apagada,Nov 02 2025 09:24 AM,0
2157,Ignición Encendida,Nov 02 2025 09:23 AM,0
2158,Ignición Apagada,Nov 02 2025 09:23 AM,0
