,Unit Type,Unit ID,Unit,Last Event Date,IMEI
4479,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0KNP,GHP377,6/26/2025 8:13:09 AM,359369090336336
4480,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0KNS,GHP394,6/26/2025 9:08:17 AM,359369090573144
4484,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0KOH,GHP396,6/26/2025 8:11:56 AM,359369090348513
4487,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0KSN,WOM120,6/26/2025 12:06:18 PM,359369090619855
4489,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0KSP,WOM075,6/26/2025 12:03:04 PM,354514101188243
4490,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0KSQ,WOM072,6/26/2025 12:10:09 PM,358077091650081
4492,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0KXV,WOM118,6/26/2025 12:07:48 PM,359369091042115
4499,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0LVL,WOM699,6/26/2025 12:05:24 PM,358077092188925
4502,CalAmp 0330H - 3G -LMU0330H-SKM6-JAM01,0MPV,WOM410,6/26/2025 12:08:37 PM,352556102918856
4503,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0MS1,WOM407,6/26/2025 11:05:28 AM,359369091071452
4509,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0SGX,WON068(5G),6/26/2025 10:02:07 AM,865640068185278
4529,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0K6B,5 JD 5075 E,6/26/2025 11:58:39 AM,359369090549060
4533,CalAmp 0330H - 2G - LMU0330G-SK07-G1000,S378,3 JD 4250,6/26/2025 9:11:36 AM,352556102918963
4534,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,W413,4 JD 5725,6/26/2025 12:11:17 PM,359369090038759
4536,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0MDE,SSK961,6/26/2025 10:45:53 AM,359369090042397
4539,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0SIG,TRACTOR JHON DEER,6/26/2025 10:40:51 AM,358077093499925
4546,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0TY5,WOM891,6/26/2025 12:10:34 PM,352556102909939
4558,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0UGI,470AEU,6/26/2025 11:51:08 AM,352556102899072
4560,CalAmp 0330H - 2G - LMU0330G-SK07-G1000,0WG1,LKK559,6/26/2025 11:32:57 AM,868574041318101
4582,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0WWZ,B40-860,6/26/2025 12:09:55 PM,352556102091886
4587,CalAmp 0330H - 3G -LMU0330H-SKM6-JAM01,0XAP,AVF-798,6/26/2025 12:11:13 PM,352556102777393
4588,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0XRU,ANE-801,6/26/2025 9:33:21 AM,352556102002677
4589,CalAmp 0330H - 3G -LMU0330H-SKM6-JAM01,0XXG,T4D-868,6/26/2025 11:54:59 AM,352556102949265
4606,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0JNY,AHC900 HYUNDAI H1,6/26/2025 11:25:42 AM,359369090154960
4610,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0K9D,CAT 236D-2,6/26/2025 11:17:52 AM,359369090545316
4621,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0QIJ,WHU231,6/26/2025 11:45:37 AM,359369091106407
4623,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0SGM,SY021NCCN8628,6/26/2025 6:39:57 AM,358077093498083
4630,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0S1T,SY036RCC63518,6/26/2025 12:08:27 PM,359369091023503
4641,CalAmp 0330H - 2G - LMU0330G-SK07-G1000,559D,VOV281,6/26/2025 12:10:46 PM,359369091140661
4646,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,00MQ,SY013CCC52808,6/26/2025 9:46:18 AM,352556102789455
4655,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0KPJ,009,6/26/2025 12:09:35 PM,358077091669958
4656,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0PMW,043,6/26/2025 12:08:39 PM,359369091086286
4657,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0SJN,091,6/26/2025 12:08:40 PM,352556102931347
4669,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0UWQ,MXU949,6/26/2025 11:46:07 AM,352556102054645
4670,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0V57,PZF457,6/26/2025 12:00:47 PM,352556102808172
4671,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0V9G,PZG365 ,6/26/2025 12:06:35 PM,359369090546223
4756,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0RI8,SY013NCC07638,6/26/2025 11:44:27 AM,359369091064440
4764,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0VQD,FTG724,6/26/2025 12:09:16 PM,352556102102238
4767,CalAmp 0330H - 2G - LMU0330G-SK07-G1000,0IUN,DOW-798,6/26/2025 12:07:13 PM,351628096763704
4774,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0VIL,F3E-831,6/26/2025 12:10:18 PM,352556102770711
4775,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0W7V,AJR-767,6/26/2025 12:03:36 PM,354514101455006
4792,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,07SY,EQQ609,6/26/2025 7:03:23 AM,359369091082491
4805,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0B51,220,6/26/2025 8:44:00 AM,357041069745472
4806,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0QFM,139,6/26/2025 9:05:42 AM,359369091201729
4815,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0RLY,Kodiak ,6/26/2025 9:53:29 AM,344514101571513
4821,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,03LV,S570 A7U714303,6/26/2025 11:13:28 AM,354514101225425
4837,CalAmp 0330H - 2G - LMU0330G-SK07-G1000,09MN,MINICAR HSL850/2262,6/26/2025 11:11:29 AM,359369090625530
4850,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0EJ3,S570 ANZB 12443,6/26/2025 10:52:28 AM,359369091063947
4861,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0Q61,AZNB12558,6/26/2025 11:10:56 AM,359369090616414
4862,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0Q6E,AZNB12825,6/26/2025 11:19:42 AM,358077091730271
4863,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0S2C,HSL850-7A/2409,6/26/2025 12:01:09 PM,358077091609855
4879,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0XQQ,MINCARGADOR /2991,6/26/2025 11:55:52 AM,352556102750648
4880,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0XQS,MINICARGADOR /2995,6/26/2025 11:05:45 AM,352556102750382
4881,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0XWO,EXCAVADORA HX60/2640,6/26/2025 11:56:03 AM,352556102748550
4892,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,19AL,A7U4714650,6/26/2025 12:10:21 PM,352556102765786
4893,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,3873,MINICARGADOR 850/278,6/26/2025 12:03:19 PM,359369090551496
4899,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,559R,EXCAVADORA R35Z #3,6/26/2025 11:55:29 AM,352556102751562
4908,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,A80Q,RETROEXCAVADO 940 #1,6/26/2025 11:57:35 AM,352556102053779
4928,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0V7M,WHM180,6/26/2025 12:03:46 PM,352556102936601
4929,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0VTW,LCN 610,6/26/2025 12:04:29 PM,354514101462101
4931,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0XBU,WDR658,6/26/2025 9:42:24 AM,352556102742819
4974,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0RNA,MDO33F,6/26/2025 10:40:27 AM,359369091069910
4977,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0V7Y,LLP530,6/26/2025 11:17:21 AM,352556102808602
5016,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0Q5Y,JRR759,6/26/2025 8:04:18 AM,358077091807400
5056,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0FOJ,WZI261,6/26/2025 12:08:17 PM,358077092135199
5057,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0FQY,WCK234,6/26/2025 8:33:09 AM,359369091196820
5059,CalAmp 0330H - 3G -LMU0330H-SKM6-JAM01,0GH7,SLI614,6/26/2025 10:26:13 AM,352556102768400
5060,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0MGF,JKU371,6/26/2025 12:09:11 PM,359369091169041
5061,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0MR2,JKU996,6/26/2025 9:52:43 AM,358077093430714
5089,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0MG5,WFS057,6/26/2025 12:03:33 PM,359369090075629
5218,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0MFS,SYS864,6/26/2025 12:00:18 PM,358077091608659
5219,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0VS9,LWL973,6/26/2025 9:58:48 AM,354514101454652
5283,CalAmp 0330H - 3G -LMU0330H-SKM6-JAM01,0XYB,AWE-846,6/26/2025 11:08:43 AM,352556102796773
5284,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0KM5,CX-5 (JOX-828),6/26/2025 10:28:00 AM,359369090344181
5296,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0VVW,LUL855,6/26/2025 12:10:16 PM,354514101467027
5355,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0D0Y,SVO 402,6/26/2025 11:33:09 AM,357041060763185
5358,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0UTU,LLX158,6/26/2025 11:57:16 AM,352556102813479
5366,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0REN,SYT244,6/26/2025 12:10:15 PM,359369091087847
5367,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0RF1,JVK030,6/26/2025 12:08:24 PM,359369091068086
5371,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0UDP,JDU141,6/26/2025 10:28:15 AM,352556102952996
5376,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0VY7,NZI68G,6/26/2025 11:39:30 AM,354514101460865
5393,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0M1A,John Deere 310E,6/26/2025 10:40:52 AM,358077092175328
5395,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0M1G,Howo C8Q-762,6/26/2025 11:20:43 AM,359369091365847
5398,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0WS7,MICROPAV BVN-922,6/26/2025 8:24:28 AM,352556102051419
5405,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0X35,BBF-817,6/26/2025 11:30:18 AM,352556102044018
5406,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0X38,BSG-747,6/26/2025 9:30:32 AM,352556102014193
5407,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0X3B,BPV-859,6/26/2025 10:16:50 AM,352556102038754
5408,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0X3E,BDO-838,6/26/2025 10:12:15 AM,352556102039166
5409,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0YAN,AVM-846,6/26/2025 12:09:15 PM,352556102757726
5410,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0YAQ,BTW-826,6/26/2025 11:46:13 AM,352556102752792
5424,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,07YY,JUAN CONRADO SEGURA,6/26/2025 11:49:49 AM,358077091710786
5425,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,07Z5,JOSE LUIS ZAVALA,6/26/2025 9:11:13 AM,359369090533924
5445,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0O5U,ROBERTO CARLOS HDZ ,6/26/2025 12:10:30 PM,358077093062780
5446,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0O67,JUAN FCO VAZQUEZ MON,6/26/2025 8:26:43 AM,358077093032619
5447,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0Q28,ROSALIO MONCLOVA,6/26/2025 11:26:46 AM,359369091071031
5448,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0QF9,MOISES CORDERO,6/26/2025 12:09:52 PM,359369091138913
5449,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0QFA,JORGE SANTIAGO,6/26/2025 9:14:08 AM,359369091139655
5450,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0QFN,JOSE SERRATO TORNADO,6/26/2025 12:06:21 PM,359369091018941
5452,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0QHT,JOSE ALFREDO CORONEL,6/26/2025 12:01:10 PM,359369091041794
5453,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0QL0,MAZDA SERVICIO,6/26/2025 9:48:28 AM,354514101532010
5454,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0S7Y,Noe Pruneda,6/26/2025 11:43:24 AM,352556102946949
5455,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0SIY,GREGORIO SANTOS,6/26/2025 12:08:33 PM,352556102921942
5565,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0EC9,CATERIPLLAR 416B,6/26/2025 12:04:14 PM,352556102951303
5566,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0J8U,MINI SR175B,6/26/2025 12:10:33 PM,352556102797672
5607,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0O55,PARTNER 2022,6/26/2025 12:10:13 PM,358077093040521
5608,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0QFH,Spark 2014,6/26/2025 8:42:42 AM,359369091070421
5609,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0QLQ,TORNADO 24 Reparto1,6/26/2025 12:07:54 PM,359369091129300
5613,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0LIM,HTK858,6/26/2025 10:46:22 AM,359369090032877
5618,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0MKK,SL9563CA09318,6/26/2025 6:41:14 AM,358077092190475
5642,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0PX5,SY021NCBC2998,6/26/2025 11:57:37 AM,358077091609905
5643,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0PXD,SL9563CC00278,6/26/2025 11:47:58 AM,359369091146619
5649,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0LOP,CAT 232D  ,6/26/2025 11:59:38 AM,358077092155726
5652,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0MKH,INTER ( LF-39-315 ),6/26/2025 11:58:18 AM,358077091721106
5653,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0N5Z,NP-300 ( PU-7745-A ),6/26/2025 12:09:51 PM,358077091656898
5673,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0LUP,CATERPILLAR 420E,6/26/2025 11:48:07 AM,352556102899395
5674,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0VJW,JUV082,6/26/2025 10:29:54 AM,352556102810061
5675,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,07ZB,Conchi,6/26/2025 11:46:13 AM,359369090536745
5678,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0NVM,GIS,6/26/2025 10:30:46 AM,358077093055644
5680,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0O5B,TOUAREG,6/26/2025 9:52:22 AM,358077092827720
5682,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0O5S,MAN,6/26/2025 9:03:57 AM,358077093034060
5683,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0O64,ISUZU,6/26/2025 11:06:15 AM,358077093051361
5684,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0PNJ,RAM 700,6/26/2025 9:54:31 AM,359369091063962
5700,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0X6H,CATERPILLAR 416B,6/26/2025 10:47:30 AM,352556102898256
5706,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0MDA,SOR351,6/26/2025 12:09:55 PM,359369090063765
5711,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0QK2,SXJ426,6/26/2025 12:10:06 PM,359369091024618
5712,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0S2F,SXJ033,6/26/2025 12:10:13 PM,359369091087219
5722,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,07Z7,ES-JEEP,6/26/2025 10:34:54 AM,35936909004819
5741,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0NV9,ES-SAVEIRO M,6/26/2025 9:37:10 AM,358077091737185
5742,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0O5N,ES-78N,6/26/2025 12:06:59 PM,358077093057764
5743,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0S1A,ES-85N,6/26/2025 12:08:40 PM,352556102771362
5778,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0Q2A,CAT 236D-3,6/26/2025 12:05:57 PM,358077091704490
5779,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0Q68,CAT 236D-4,6/26/2025 11:31:41 AM,359369091109278
5805,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0B5E,PASSAT,6/26/2025 8:52:52 AM,357041069780974
5816,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,02U2,VAG479,6/26/2025 5:55:49 AM,352556102085813
5833,CalAmp 0330H - 2G - LMU0330G-SK07-G1000,0MR3,GWO698,6/26/2025 11:59:17 AM,359369091104691
5839,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0NQF,GWR677,6/26/2025 12:09:50 PM,352556102748691
5840,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0NQT,KNO043,6/26/2025 12:04:01 PM,352556102084642
5841,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0RF0,OBG665,6/26/2025 8:43:31 AM,359369091110870
5842,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0RNU,FQN284,6/26/2025 11:28:39 AM,359369090559986
5843,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0T4X,FSO141,6/26/2025 9:20:55 AM,359369091055372
5844,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0T4Z,TJF64F,6/26/2025 12:07:02 PM,352556102102139
5845,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0T50,MWL375,6/26/2025 11:12:08 AM,358077091712964
5846,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0T53,TJF65F,6/26/2025 11:41:09 AM,352556102770794
5847,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0UW7,KRQ547,6/26/2025 11:36:19 AM,352556102764565
5849,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0V4H,KRP824,6/26/2025 11:54:00 AM,352556102056897
5850,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0V4Q,ZGT91E,6/26/2025 11:46:29 AM,352556102805475
5851,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0V5D,MWL374,6/26/2025 9:57:56 AM,352556102801102
5852,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0V5P,ZGT9OE,6/26/2025 10:09:40 AM,352556102934556
5853,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0VN3,OBG275,6/26/2025 9:49:33 AM,354514101476093
5855,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0VNU,KRQ402,6/26/2025 11:18:06 AM,352556102093726
5864,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0S7Z,WXO86F,6/26/2025 11:36:44 AM,359369090541398
5868,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0VX1,BNF-943 CHINALCO,6/26/2025 12:09:11 PM,352556102084022
5870,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0WOP,B8K-710,6/26/2025 11:32:05 AM,352556102097628
5871,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0WOV,AWN-722,6/26/2025 12:05:11 PM,352556102002594
5873,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0WP0,AWN-721,6/26/2025 12:09:36 PM,352556102050742
5874,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0WP2,APF-941,6/26/2025 11:42:52 AM,352556102745671
5876,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0WP4,BDZ-892,6/26/2025 9:23:23 AM,352556102052094
5877,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0WP6,AEJ-768,6/26/2025 12:11:05 PM,352556102052003
5878,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0WR5,BHG-837,6/26/2025 10:38:14 AM,352556102002644
5880,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0WZR,BDW-715 CHINALCO,6/26/2025 12:11:09 PM,354514101466847
5883,CalAmp 0330H - 3G -LMU0330H-SKM6-JAM01,0X9Q,D1C-788,6/26/2025 12:06:34 PM,352556102900854
5884,CalAmp 0330H - 3G -LMU0330H-SKM6-JAM01,0XA6,AAW-859,6/26/2025 8:57:26 AM,352556102898561
5885,CalAmp 0330H - 3G -LMU0330H-SKM6-JAM01,0XAN,B08404,6/26/2025 12:06:15 PM,352556102945784
5906,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,07ST,ESU082,6/26/2025 10:53:53 AM,354514101462036
5907,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0E7W,SRF569,6/26/2025 12:10:14 PM,352556102936486
6275,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0BWF,T9J-919,6/26/2025 11:25:59 AM,359369091110276
6278,CalAmp 0330H - 2G - LMU0330G-SK07-G1000,0GQS,T0T-837,6/26/2025 12:10:57 PM,354514101462242
6279,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0M0I,T9I-924,6/26/2025 12:08:35 PM,358077092401641
6280,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,0M0N,T1T-860,6/26/2025 12:06:20 PM,358077092175302
