,IMEI
5871,352556102002594
5873,352556102050742
5874,352556102745671
5876,352556102052094
5877,352556102052003
5878,352556102002644
5880,354514101466847
5883,352556102900854
5884,352556102898561
5885,352556102945784
5906,354514101462036
5907,352556102936486
6275,359369091110276
6278,354514101462242
6279,358077092401641
6280,358077092175302
6281,359369091068656
6283,358077092398953
6322,352556102051401
6397,354514101465633
6460,352556102014516
6461,352556102057457
6475,354514101458646
6493,352556102918252
6494,352556102915670
6505,359369091201380
6506,359369091062212
6507,359369091229092
6508,359369091198230
6509,359369091046884
6531,352556102786501
6534,352556102808891
6535,352556102945628
6537,352556102778938
6562,352556102015489
6630,359369091298956
6641,358077092161476
6647,354514101460337
6698,352556102936833
6699,352556102946972
6732,359369091024469
6733,358077093477459
6743,352556102916645
6744,352556102767345
6746,352556102818734
6748,352556102906034
6750,352556102939431
6751,352556102809931
6752,352556102797235
6753,352556102782583
6754,352556102817694
6755,352556102920258
6756,352556102919458
6757,352556102796740
6808,352556102901878
6813,359369091200101
6816,359369091069274
6852,359369091070041
6875,352556102096034
6878,359369091065678
6879,354514101466599
7102,359369091147286
7401,352556102768251
7407,359369091070447
7411,354514101466946
7413,352556102921215
7414,352556102768244
7418,354514101466110
7420,354514101465740
7421,358077092414644
7427,359369090346038
7428,359369090619004
7462,352556102757023
7463,352556102748311
7464,358077091712881
7465,358077091649661
7466,351628096257319
7467,359369090542867
7468,358077093313118
7472,359369090368081
7474,359369090545480
7475,359369090149564
7511,352556102917098
7536,358077091722237
7544,359369091110912
7575,359369091294641
7591,359369090367877
7592,359369090553112
7593,359369090551090
7594,359369090576162
7595,359369090458148
7597,358077092155585
7600,868574041367322
7612,352556102055683
7616,352556102772949
7619,352556102050239
7652,352556102796518
7653,352556102917346
7656,352556102748436
7657,352556102773368
7658,352556102752735
7659,354514101455394
7667,352556102796088
7679,352556102916439
7686,359369091199865
7694,359369090558814
7695,352556102769143
7703,358077091713798
7704,359369091243663
7705,352556102951576
7712,352556102756884
7716,352556102049330
7717,354514101454546
7721,352556102936916
7724,352556102769994
7725,352556102949760
7726,352556102768319
7727,352556102759268
7728,352556102057846
7729,352556102049389
7730,354514101476036
7735,352556102051393
7736,352556102056293
7742,354514101457606
7745,354514101457499
7746,354514101455360
7747,354514101455048
7750,354514101462259
7752,354514101461962
7753,354514101460741
7757,352556102044414
7763,354514101466615
7765,354514101462937
7768,354514101461798
7772,352556102092702
7773,354514101452839
7775,352556102099483
7778,352556102099749
7779,352556102099442
7833,352556102750325
7850,352556102952970
7854,352556102906174
7856,352556102049876
7862,352556102804387
7863,359369091164232
7868,358077092330592
7872,352556102937468
7882,352556102750309
7883,352556102048381
7896,359369090543691
7929,352556102760266
7932,359369090072527
7934,352556102908295
7945,359369090381084
7949,359369090056009
7952,359369090057809
7954,358077090617602
7957,352556102015257
7959,352556102770174
7960,352556102767543
7961,354514101466904
7962,359369090506979
7965,354514101460105
7967,359369090614062
7971,352556102796245
7975,359369090618659
7978,352556102947897
7993,354514101452789
7995,352556102948259
7996,352556102918138
8165,352556102899304
8167,352556102040131
8168,354514101460386
8188,359369090542388
8189,359369090555844
8193,359369090547874
8208,354514101189928
8211,359369090568417
8213,358077093473854
8251,359369090647708
8257,359369091024576
8258,358077092149331
8260,352556102756082
8261,359369091083788
8262,359369091105037
8263,359369090617719
8293,359369091023586
8330,357041069773490
8331,357041069762501
8340,359369091130019
8341,359369091064226
8342,352556102758161
8390,354514101225037
8419,359369091367512
8422,352556102014649
8553,359369090061553
8554,359369091064887
8575,359369090366770
8600,352556102863029
8639,359369091203477
8669,352556102757809
8671,352556102741621
8672,352556102750986
8754,359369091062063
8781,352556102818486
8782,352556102818775
8783,352556102948119
8784,352556102930349
8785,352556102916306
8786,352556102096430
8845,359369090370194
8846,352556102053498
8857,358077092391966
8864,352556102817256
8865,358077092208152
8866,358077092395116
8915,354514101465112
8916,354514101466268
8917,354514101465708
8924,352556102951865
8974,358077091710877
9014,359369090064003
9043,352556102752776
9044,352556102765406
9045,352556102718363
9145,352556102055642
9146,354514101464693
9147,352556102100182
9148,352556102016073
9164,359369091309878
9183,352556102741761
9184,352556102746687
9205,359369091018636
9207,352556102037194
9210,352556102048357
9217,358077092096920
9248,358077092205679
9249,359369090094422
9251,358077092399613
9252,358077092207188
9261,359369090557097
9265,352556102755522
9276,358077092197637
9285,359369090081577
9286,359369090569662
9287,359369091069993
9288,359369091102372
9291,352556102938060
9293,354514101452854
9294,352556102049520
9295,354514101455485
9447,354514101454660
9459,354514101222174
9463,357041065238340
9490,868574042410592
9494,359369091105755
9497,352556102749590
9509,352556102902736
9512,352556102772006
9513,352556102950800
9514,352556102920225
9532,358077092412259
9554,358014097863459
9558,354514101463786
9559,352556102805111
9573,359369091110631
9584,352556102928376
9585,352556102767329
9586,352556102915878
9587,352556102937302
9630,359369091076832
9636,359369090074887
9637,352556102096000
9646,352556102807786
9647,352556102947020
9648,352556102777229
9650,352556102768830
9677,351628096192524
9678,351628096253839
9679,351628096828861
9680,351628096253870
9681,358077092372032
9683,352556102762403
9687,354514101582064
9688,352556102751828
9689,352556102745390
9690,352556102752479
9700,358077092356464
9701,358077092347224
9749,352556102742611
9755,359369091196994
9757,359369091025722
9758,358077092380308
9761,359369091084026
9762,359369091047114
9764,352556102100406
9765,354514101462804
9912,354514101455352
9922,352556102087363
9943,352556102909582
9946,358077092155767
9994,359369091017067
9995,358077093412878
9999,354514101452680
10000,352556102015109
10001,352556102050775
10002,354514101463588
10003,352556102084998
